timestamp,distance_m,attempt,url,success,attempt_started_at,attempt_completed_at,attempt_total_ms,tcp_connect_success,tcp_connect_ms,tcp_error,request_started_at,headers_received_at,response_completed_at,time_to_headers_ms,body_download_ms,http_total_ms,measurement_total_ms,http_status,response_bytes,press_finished,threshold,threshold_reached,trigger_angle,fsr_raw,fsr_voltage,esp32_rssi_dbm,robot_wifi_signal_before_dbm,robot_wifi_signal_after_dbm,robot_wifi_interface,robot_wifi_ssid,response,error
2026-06-21T15:07:31.777,1,1,http://192.168.8.226/press,True,2026-06-21T15:07:23.470,2026-06-21T15:07:31.777,8306.62,True,24.97,,2026-06-21T15:07:23.504,2026-06-21T15:07:31.764,2026-06-21T15:07:31.767,8260.72,2.15,8262.90,8288.03,200,144,yes,100,no,0,0,0.0000,-66,-68,-68,wlP1p1s0,student-FoU,Press command finished energy_saving_mode=yes threshold=100 threshold_reached=no trigger_angle=0 fsr_raw=0 fsr_voltage=0.0000 wifi_rssi_dbm=-66,
2026-06-21T15:08:05.793,2,1,http://192.168.8.226/press,True,2026-06-21T15:07:57.450,2026-06-21T15:08:05.793,8343.54,True,51.23,,2026-06-21T15:07:57.508,2026-06-21T15:08:05.783,2026-06-21T15:08:05.784,8274.69,0.34,8275.05,8326.48,200,144,yes,100,no,0,0,0.0000,-71,-68,-68,wlP1p1s0,student-FoU,Press command finished energy_saving_mode=yes threshold=100 threshold_reached=no trigger_angle=0 fsr_raw=0 fsr_voltage=0.0000 wifi_rssi_dbm=-71,
2026-06-21T15:08:27.961,3,1,http://192.168.8.226/press,True,2026-06-21T15:08:19.223,2026-06-21T15:08:27.961,8737.60,True,271.67,,2026-06-21T15:08:19.503,2026-06-21T15:08:27.914,2026-06-21T15:08:27.953,8411.59,38.65,8450.29,8722.16,200,144,yes,100,no,0,1,0.0008,-73,-67,-68,wlP1p1s0,student-FoU,Press command finished energy_saving_mode=yes threshold=100 threshold_reached=no trigger_angle=0 fsr_raw=1 fsr_voltage=0.0008 wifi_rssi_dbm=-73,
2026-06-21T15:08:46.511,4,1,http://192.168.8.226/press,True,2026-06-21T15:08:37.962,2026-06-21T15:08:46.511,8549.60,True,98.15,,2026-06-21T15:08:38.067,2026-06-21T15:08:46.474,2026-06-21T15:08:46.504,8406.93,29.19,8436.17,8534.52,200,144,yes,100,no,0,0,0.0000,-76,-68,-68,wlP1p1s0,student-FoU,Press command finished energy_saving_mode=yes threshold=100 threshold_reached=no trigger_angle=0 fsr_raw=0 fsr_voltage=0.0000 wifi_rssi_dbm=-76,
2026-06-21T15:09:02.522,5,1,http://192.168.8.226/press,True,2026-06-21T15:08:54.026,2026-06-21T15:09:02.522,8495.85,True,197.11,,2026-06-21T15:08:54.232,2026-06-21T15:09:02.502,2026-06-21T15:09:02.515,8270.70,12.21,8282.94,8480.26,200,144,yes,100,no,0,0,0.0000,-71,-68,-68,wlP1p1s0,student-FoU,Press command finished energy_saving_mode=yes threshold=100 threshold_reached=no trigger_angle=0 fsr_raw=0 fsr_voltage=0.0000 wifi_rssi_dbm=-71,
2026-06-21T15:09:17.876,6,1,http://192.168.8.226/press,True,2026-06-21T15:09:09.526,2026-06-21T15:09:17.876,8349.89,True,54.73,,2026-06-21T15:09:09.589,2026-06-21T15:09:17.868,2026-06-21T15:09:17.868,8278.92,0.62,8279.58,8334.51,200,144,yes,100,no,0,0,0.0000,-73,-68,-68,wlP1p1s0,student-FoU,Press command finished energy_saving_mode=yes threshold=100 threshold_reached=no trigger_angle=0 fsr_raw=0 fsr_voltage=0.0000 wifi_rssi_dbm=-73,
2026-06-21T15:09:40.863,7,1,http://192.168.8.226/press,True,2026-06-21T15:09:32.271,2026-06-21T15:09:40.863,8591.04,True,102.22,,2026-06-21T15:09:32.382,2026-06-21T15:09:40.808,2026-06-21T15:09:40.853,8426.57,44.68,8471.29,8573.68,200,144,yes,100,no,0,0,0.0000,-78,-68,-68,wlP1p1s0,student-FoU,Press command finished energy_saving_mode=yes threshold=100 threshold_reached=no trigger_angle=0 fsr_raw=0 fsr_voltage=0.0000 wifi_rssi_dbm=-78,
2026-06-21T15:10:03.803,8,1,http://192.168.8.226/press,True,2026-06-21T15:09:55.181,2026-06-21T15:10:03.803,8622.69,True,109.21,,2026-06-21T15:09:55.299,2026-06-21T15:10:03.747,2026-06-21T15:10:03.795,8447.94,47.50,8495.48,8604.87,200,144,yes,100,no,0,0,0.0000,-76,-68,-68,wlP1p1s0,student-FoU,Press command finished energy_saving_mode=yes threshold=100 threshold_reached=no trigger_angle=0 fsr_raw=0 fsr_voltage=0.0000 wifi_rssi_dbm=-76,
2026-06-21T15:10:32.997,9,1,http://192.168.8.226/press,False,2026-06-21T15:10:17.693,2026-06-21T15:10:32.997,15303.89,True,140.10,,2026-06-21T15:10:17.843,,2026-06-21T15:10:32.989,,,15146.30,15286.62,,,no,,,,,,,-68,-68,wlP1p1s0,student-FoU,,"HTTPConnectionPool(host='192.168.8.226', port=80): Read timed out. (read timeout=15.0)"
2026-06-21T15:10:59.717,10,1,http://192.168.8.226/press,False,2026-06-21T15:10:52.527,2026-06-21T15:10:59.717,7189.48,False,4100.23,[Errno 113] No route to host,2026-06-21T15:10:56.637,,2026-06-21T15:10:59.709,,,3072.30,7172.65,,,no,,,,,,,-68,-68,wlP1p1s0,student-FoU,,"HTTPConnectionPool(host='192.168.8.226', port=80): Max retries exceeded with url: /press (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffa79f5c90>: Failed to establish a new connection: [Errno 113] No route to host'))"
