wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-19_21-49-29-300255,1781898569.300271,20260619_214929,0.000,run_start,logger,manual_mark_without_active_run,
2026-06-19_21-49-29-300787,1781898569.300801,20260619_214929,0.001,manual_mark,operator,object_detection_correct,
2026-06-19_21-49-31-305605,1781898571.305632,20260619_214929,2.005,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
2026-06-19_21-49-31-305842,1781898571.305855,20260619_214929,2.006,physical_status,physical_alignment,status,drive_straight_under_started
2026-06-19_21-49-40-790244,1781898580.790269,20260619_214929,11.490,dropzone_status,dropzone,under_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}"""
2026-06-19_21-49-40-790754,1781898580.790775,20260619_214929,11.491,physical_status,physical_alignment,under_trolley,drive_straight_under_done
2026-06-19_21-50-05-266490,1781898605.266515,20260619_214929,35.966,manual_mark,operator,drive_under_unsucessfull_,
2026-06-19_21-51-38-131358,1781898698.131385,20260619_214929,128.831,manual_mark,operator,recalibrate_start,
2026-06-19_21-51-48-692456,1781898708.692482,20260619_214929,139.392,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_21-52-07-138315,1781898727.138339,20260619_214929,157.838,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-19_21-52-07-138508,1781898727.138518,20260619_214929,157.838,physical_status,physical_alignment,status,side_align_left_started
2026-06-19_21-52-07-542393,1781898727.542419,20260619_214929,158.242,command,trolley_command,side_align,side_align
2026-06-19_21-52-14-981568,1781898734.981591,20260619_214929,165.681,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[16, 17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3617 target_y=+0.2533 side_target_offset_x=+0.3560 center_x=+0.3362 center_y=+0.5606 yaw=+178.02deg error_x=+0.0057 yaw_error=-1.98deg tolerance_x=0.0060 tolerance_yaw=2.00deg"
2026-06-19_21-52-14-982116,1781898734.982135,20260619_214929,165.682,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[16, 17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3617 target_y=+0.2533 side_target_offset_x=+0.3560 center_x=+0.3362 center_y=+0.5606 yaw=+178.02deg error_x=+0.0057 yaw_error=-1.98deg tolerance_x=0.0060 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-19_21-52-16-984549,1781898736.984574,20260619_214929,167.684,yolo_detection,yolo,trash_trolley,"{""classes"": [""trash_trolley""]}"
2026-06-19_21-52-24-314011,1781898744.314036,20260619_214929,175.014,dropzone_status,dropzone,trolley_type_checked,trolley_type_checked: trash_trolley via live_yolov8_topic; remembered target=trash_dropoff. Next command: drive_under.
2026-06-19_21-52-32-394677,1781898752.394709,20260619_214929,183.095,manual_mark,operator,object_detection_correct,
2026-06-19_21-52-34-388458,1781898754.388483,20260619_214929,185.088,physical_status,physical_alignment,status,drive_straight_under_started
2026-06-19_21-52-34-388822,1781898754.388833,20260619_214929,185.089,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
2026-06-19_21-52-43-844273,1781898763.844299,20260619_214929,194.544,dropzone_status,dropzone,under_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}"""
2026-06-19_21-52-43-844684,1781898763.844700,20260619_214929,194.544,physical_status,physical_alignment,under_trolley,drive_straight_under_done
2026-06-19_21-52-49-739413,1781898769.739438,20260619_214929,200.439,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-19_21-52-49-739648,1781898769.739661,20260619_214929,200.439,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-19_21-52-51-351424,1781898771.351449,20260619_214929,202.051,physical_status,physical_alignment,status,fine_align_under_started
2026-06-19_21-53-18-496441,1781898798.496474,20260619_214929,229.196,physical_status,physical_alignment,fine_align_complete,"fine_align_under_done | final ids=[3, 12] center_x=+0.1300 center_y=-0.0029 yaw=+167.00deg orientation=flipped_180 error_x=-0.0040 error_y=-0.0067 yaw_error=+2.00deg target_x=+0.1340 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg"
