run,success,failure_reason,failure_detail,duration_sec,startup_duration_sec,command_to_success_sec,mission_started_sec,attach_sec,detach_sec,dropoff_detected_sec,charging_detected_sec,last_trolley_x,last_trolley_y,last_trolley_yaw_deg,last_robot_x,last_robot_y,last_robot_yaw_deg,final_trolley_dropoff_error_x,final_trolley_dropoff_error_y,final_trolley_dropoff_error_dist,final_robot_charging_error_x,final_robot_charging_error_y,final_robot_charging_error_dist,side_align_complete_sec,side_align_aruco_est_error_x,side_align_aruco_est_error_y,side_align_aruco_est_yaw_error_deg,side_align_aruco_est_marker_count,side_align_actual_trolley_base_x,side_align_actual_trolley_base_y,side_align_actual_trolley_yaw_error_deg,side_align_actual_aruco_error_x,side_align_actual_aruco_error_y,side_align_actual_aruco_error_dist,side_align_actual_aruco_yaw_error_deg,side_align_aruco_vs_actual_error_x,side_align_aruco_vs_actual_error_y,side_align_aruco_vs_actual_yaw_error_deg,fine_align_complete_sec,fine_align_aruco_est_error_x,fine_align_aruco_est_error_y,fine_align_aruco_est_yaw_error_deg,fine_align_aruco_est_marker_count,fine_align_actual_trolley_base_x,fine_align_actual_trolley_base_y,fine_align_actual_trolley_yaw_error_deg,fine_align_actual_aruco_error_x,fine_align_actual_aruco_error_y,fine_align_actual_aruco_error_dist,fine_align_actual_aruco_yaw_error_deg,fine_align_aruco_vs_actual_error_x,fine_align_aruco_vs_actual_error_y,fine_align_aruco_vs_actual_yaw_error_deg,mission_param_overrides,holonomic_param_overrides,last_log_line
1,True,,,266.313,9.833,266.309,12.001,128.278,199.247,169.131,265.3,5.2019,-0.0401,-0.77,-0.0001,0.1066,0.081,0.0019,-0.0401,0.0401,-0.0001,0.1066,0.1066,76.598,0.004,0.0,-0.7,5,0.0178,-1.057,-0.607,0.0028,-1.057,1.057,-0.607,0.0012,1.057,-0.093,128.275,0.008,-0.025,-0.05,11,0.0079,-0.0251,-0.094,0.0079,-0.0251,0.0263,-0.094,0.0001,0.0001,0.044,,,[python3-22] [INFO] [1783093089.174777147] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
2,True,,,261.538,9.785,261.535,14.758,127.565,194.599,168.358,260.528,5.2042,-0.0376,0.341,0.0,0.1092,-0.026,0.0042,-0.0376,0.0378,0.0,0.1092,0.1092,75.39,-0.002,0.0,0.48,5,0.0102,-1.0453,0.019,-0.0048,-1.0453,1.0453,0.019,0.0028,1.0453,0.461,127.563,0.007,-0.025,-0.18,10,0.0068,-0.0251,-0.261,0.0068,-0.0251,0.026,-0.261,0.0002,0.0001,0.081,,,[python3-22] [INFO] [1783093351.359922148] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
3,True,,,265.001,9.735,264.999,12.156,127.807,198.572,168.802,263.991,5.1867,-0.0298,-2.993,0.001,0.1072,-0.235,-0.0133,-0.0298,0.0327,0.001,0.1072,0.1072,75.209,-0.001,0.0,-0.12,6,0.0085,-1.0553,0.512,-0.0065,-1.0553,1.0553,0.512,0.0055,1.0553,-0.632,127.754,-0.007,-0.025,-0.0,11,-0.0065,-0.0252,-0.098,-0.0065,-0.0252,0.0261,-0.098,-0.0005,0.0002,0.098,,,[python3-22] [INFO] [1783093621.465201077] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
4,False,local_target_timeout,"[python3-22] [ERROR] [1783093847.752841244] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.029, yaw=+5.26 deg",215.213,9.789,,17.462,131.306,,175.62,,5.1943,0.0048,-5.484,5.2026,0.0291,-5.265,-0.0057,0.0048,0.0074,5.2026,0.0291,5.2027,79.209,-0.0,0.0,-0.8,6,0.0144,-1.0524,0.817,-0.0006,-1.0524,1.0524,0.817,0.0006,1.0524,-1.617,131.254,-0.006,-0.025,-0.1,11,-0.006,-0.025,-0.219,-0.006,-0.025,0.0257,-0.219,0.0,0.0,0.119,,,[python3-23] [INFO] [1783093847.753690416] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
5,False,local_target_timeout,"[python3-22] [ERROR] [1783094053.707800312] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.028, yaw=+1.86 deg",205.101,9.884,,12.05,125.726,,165.662,,5.1949,0.0026,-1.987,5.2009,0.0276,-1.859,-0.0051,0.0026,0.0057,5.2009,0.0276,5.201,74.643,-0.001,0.0,-0.96,6,0.0147,-1.0558,0.191,-0.0003,-1.0558,1.0558,0.191,-0.0007,1.0558,-1.151,125.724,-0.005,-0.025,-0.03,11,-0.0052,-0.0251,-0.128,-0.0052,-0.0251,0.0256,-0.128,0.0002,0.0001,0.098,,,[python3-23] [INFO] [1783094053.708565484] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
6,True,,,258.71,9.885,258.708,14.411,125.082,191.971,165.023,257.701,5.209,-0.075,6.74,-0.0001,0.1063,0.01,0.009,-0.075,0.0756,-0.0001,0.1063,0.1063,74.189,0.008,0.0,0.17,6,0.0125,-1.0523,-0.157,-0.0025,-1.0523,1.0523,-0.157,0.0105,1.0523,0.327,125.029,0.007,-0.025,-0.1,10,0.0063,-0.0251,-0.168,0.0063,-0.0251,0.0258,-0.168,0.0007,0.0001,0.068,,,[python3-22] [INFO] [1783094302.881573410] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
7,True,,,266.349,9.84,266.346,12.006,128.332,199.37,169.133,265.338,5.1966,-0.0322,-1.472,0.0009,0.11,-0.28,-0.0034,-0.0322,0.0324,0.0009,0.11,0.11,74.642,0.006,0.0,-0.45,6,0.0169,-1.0532,-0.057,0.0019,-1.0532,1.0532,-0.057,0.0041,1.0532,-0.393,128.33,0.005,-0.025,-0.06,10,0.0053,-0.0249,-0.164,0.0053,-0.0249,0.0255,-0.164,-0.0003,-0.0001,0.104,,,[planner_server-16] [INFO] [1783094573.434418557] [global_costmap.global_costmap]: StaticLayer: Resizing costmap to 158 X 118 at 0.050000 m/pix
8,True,,,258.055,9.837,258.053,13.258,123.789,191.223,163.873,257.046,5.2059,-0.0395,-3.078,-0.0005,0.1031,0.067,0.0059,-0.0395,0.04,-0.0005,0.1031,0.1031,73.504,0.005,0.0,-0.74,6,0.0175,-1.0422,0.373,0.0025,-1.0422,1.0422,0.373,0.0025,1.0422,-1.113,123.735,0.007,-0.025,-0.03,11,0.0065,-0.0245,-0.141,0.0065,-0.0245,0.0253,-0.141,0.0005,-0.0005,0.111,,,[python3-22] [INFO] [1783094828.342074230] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
9,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.043,9.691,,12.407,176.668,251.566,222.454,317.627,5.2293,-0.5164,0.413,0.0008,0.0264,-0.444,0.0293,-0.5164,0.5172,0.0008,0.0264,0.0264,123.509,0.003,0.0,-0.8,5,0.0246,-1.0878,0.456,0.0096,-1.0878,1.0878,0.456,-0.0066,1.0878,-1.256,176.614,0.01,-0.025,1.23,11,0.0107,-0.0251,1.189,0.0107,-0.0251,0.0273,1.189,-0.0007,0.0001,0.041,,,[python3-23] [INFO] [1783095167.032223533] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
10,True,,,261.863,9.892,261.861,12.058,125.377,195.384,165.164,260.854,5.2111,-0.0231,-5.045,0.0,0.1029,-0.046,0.0111,-0.0231,0.0257,0.0,0.1029,0.1029,73.538,0.004,0.0,0.8,6,0.0153,-1.0528,0.837,0.0003,-1.0528,1.0528,0.837,0.0037,1.0528,-0.037,125.325,0.004,-0.025,-0.06,10,0.0045,-0.0252,-0.111,0.0045,-0.0252,0.0256,-0.111,-0.0005,0.0002,0.051,,,[python3-22] [INFO] [1783095511.477123455] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
