type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
calibration,41213,22.98,99896.59,998.97,0.00,,,,,0
calibration,49726,22.70,100841.48,1008.41,0.00,,,,,0
calibration,54801,22.42,100841.14,1008.41,0.00,,,,,0
calibration,68465,22.23,100830.95,1008.31,0.85,,,,,1
read,80872,22.20,100827.19,1008.27,1.17,1,0.31,,,
read,81871,22.22,100831.41,1008.31,0.81,1,-0.04,,,
read,82871,22.22,100834.02,1008.34,0.60,1,-0.26,,,
read,83871,22.22,100835.11,1008.35,0.50,1,-0.35,,,
read,84871,22.22,100835.39,1008.35,0.48,1,-0.37,,,
read,85871,22.21,100835.55,1008.36,0.47,1,-0.38,,,
read,86871,22.20,100836.10,1008.36,0.42,0,0.42,,,
read,87871,22.18,100838.40,1008.38,0.23,0,0.23,,,
read,88871,22.16,100840.23,1008.40,0.08,0,0.08,,,
read,89871,22.14,100841.27,1008.41,-0.01,0,-0.01,,,
test,90333,22.14,100841.16,1008.41,-0.00,0,-0.00,0,1,
read,90871,22.15,100840.75,1008.41,0.03,0,0.03,,,
read,91871,22.12,100840.30,1008.40,0.07,0,0.07,,,
read,92871,22.08,100835.91,1008.36,0.44,1,-0.41,,,
read,93871,22.06,100830.30,1008.30,0.91,1,0.05,,,
read,94871,22.06,100827.52,1008.28,1.14,1,0.29,,,
test,95333,22.08,100825.54,1008.26,1.31,1,0.45,1,1,
read,95871,22.10,100824.33,1008.24,1.41,1,0.55,,,
test,96333,22.12,100823.48,1008.23,1.48,1,0.63,1,1,
read,96871,22.13,100823.20,1008.23,1.50,1,0.65,,,
test,97333,22.15,100823.20,1008.23,1.50,1,0.65,1,1,
test,97801,22.16,100823.21,1008.23,1.50,1,0.65,1,1,
test,98269,22.18,100822.56,1008.23,1.55,1,0.70,1,1,
test,98731,22.19,100822.96,1008.23,1.52,1,0.67,1,1,
test,99193,22.19,100823.98,1008.24,1.44,1,0.58,1,1,
read,99655,22.20,100826.04,1008.26,1.26,1,0.41,,,
read,100654,22.18,100830.87,1008.31,0.86,1,0.01,,,
read,101654,22.14,100836.97,1008.37,0.35,0,0.35,,,
read,102654,22.11,100840.73,1008.41,0.03,0,0.03,,,
test,103169,22.10,100841.73,1008.42,-0.05,0,-0.05,0,1,
read,103654,22.10,100841.75,1008.42,-0.05,0,-0.05,,,
read,104654,22.08,100841.98,1008.42,-0.07,0,-0.07,,,
read,105654,22.04,100842.46,1008.42,-0.11,0,-0.11,,,
read,106654,22.01,100842.38,1008.42,-0.10,0,-0.10,,,
test,107605,21.98,100842.34,1008.42,-0.10,0,-0.10,0,1,
read,108067,21.98,100841.38,1008.41,-0.02,0,-0.02,,,
read,109066,21.96,100841.59,1008.42,-0.04,0,-0.04,,,
read,110066,21.93,100841.88,1008.42,-0.06,0,-0.06,,,
read,111066,21.89,100839.42,1008.39,0.14,0,0.14,,,
read,112066,21.87,100833.58,1008.34,0.63,1,-0.22,,,
read,113066,21.87,100828.15,1008.28,1.09,1,0.23,,,
read,114066,21.87,100825.28,1008.25,1.33,1,0.47,,,
test,114543,21.89,100823.15,1008.23,1.51,1,0.65,1,1,
read,115066,21.91,100822.12,1008.22,1.59,1,0.74,,,
read,116066,21.91,100822.08,1008.22,1.59,1,0.74,,,
read,117066,21.92,100822.28,1008.22,1.58,1,0.73,,,
read,118066,21.93,100822.52,1008.23,1.56,1,0.71,,,
test,118528,21.97,100821.55,1008.22,1.64,1,0.79,1,1,
read,119066,22.00,100820.99,1008.21,1.69,1,0.83,,,
read,120066,22.00,100821.40,1008.21,1.65,1,0.80,,,
read,121066,22.01,100823.54,1008.24,1.47,1,0.62,,,
read,122066,22.02,100828.59,1008.29,1.05,1,0.20,,,
read,123066,22.02,100832.12,1008.32,0.75,1,-0.10,,,
read,124066,22.03,100834.33,1008.34,0.57,1,-0.28,,,
read,125066,22.04,100835.26,1008.35,0.49,1,-0.36,,,
read,126066,22.04,100835.61,1008.36,0.46,1,-0.39,,,
read,127066,22.05,100835.44,1008.35,0.48,1,-0.38,,,
read,128066,22.05,100835.51,1008.36,0.47,1,-0.38,,,
read,129066,22.05,100835.64,1008.36,0.46,1,-0.39,,,
read,130066,22.04,100835.41,1008.35,0.48,1,-0.37,,,
read,131066,22.04,100835.41,1008.35,0.48,1,-0.37,,,
read,132066,22.04,100835.50,1008.36,0.47,1,-0.38,,,
read,133066,22.04,100835.80,1008.36,0.45,1,-0.41,,,
read,134066,22.03,100836.13,1008.36,0.42,0,0.42,,,
read,135066,22.03,100836.58,1008.37,0.38,0,0.38,,,
read,136066,22.03,100837.12,1008.37,0.34,0,0.34,,,
read,137066,22.02,100837.20,1008.37,0.33,0,0.33,,,
read,138066,22.02,100837.59,1008.38,0.30,0,0.30,,,
read,139066,22.01,100837.64,1008.38,0.29,0,0.29,,,
read,140066,22.01,100837.49,1008.37,0.31,0,0.31,,,
