type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
read,255941,25.49,101014.97,1010.15,-39.28,1,-0.95,,,
read,256943,25.51,101014.56,1010.15,-39.24,1,-0.92,,,
read,257945,25.53,101014.09,1010.14,-39.21,1,-0.88,,,
read,258948,25.54,101013.22,1010.13,-39.13,1,-0.80,,,
read,259951,25.56,101012.80,1010.13,-39.10,1,-0.77,,,
read,260943,25.58,101013.20,1010.13,-39.13,1,-0.80,,,
read,261946,25.59,101013.90,1010.14,-39.19,1,-0.86,,,
read,262946,25.61,101014.23,1010.14,-39.22,1,-0.89,,,
read,263947,25.62,101014.61,1010.15,-39.25,1,-0.92,,,
read,264948,25.64,101014.32,1010.14,-39.22,1,-0.90,,,
read,265948,25.65,101013.77,1010.14,-39.18,1,-0.85,,,
read,266950,25.67,101013.84,1010.14,-39.18,1,-0.86,,,
read,267950,25.68,101013.58,1010.14,-39.16,1,-0.83,,,
read,268970,25.69,101012.67,1010.13,-39.09,1,-0.76,,,
read,269939,25.71,101012.30,1010.12,-39.06,1,-0.73,,,
read,270939,25.72,101012.47,1010.12,-39.07,1,-0.74,,,
read,271941,25.73,101013.15,1010.13,-39.13,1,-0.80,,,
read,272941,25.74,101013.95,1010.14,-39.19,1,-0.86,,,
read,273941,25.76,101014.45,1010.14,-39.24,1,-0.91,,,
read,274942,25.77,101015.30,1010.15,-39.31,1,-0.98,,,
read,275943,25.75,101019.25,1010.19,-39.64,1,-1.31,,,
read,276943,25.73,101021.48,1010.21,-39.82,1,-1.49,,,
read,277945,25.72,101022.08,1010.22,-39.87,1,-1.54,,,
read,278945,25.70,101022.38,1010.22,-39.90,1,-1.57,,,
read,279945,25.68,101022.44,1010.22,-39.90,1,-1.57,,,
read,280946,25.66,101022.74,1010.23,-39.93,1,-1.60,,,
read,281947,25.65,101023.07,1010.23,-39.96,1,-1.63,,,
calibration,288792,25.57,101020.48,1010.20,0.00,,,,,0
calibration,294332,25.47,101020.61,1010.21,0.00,,,,,0
calibration,295850,25.46,101020.14,1010.20,0.00,,,,,0
calibration,297393,25.46,101009.10,1010.09,0.00,,,,,0
calibration,301758,25.50,100998.43,1009.98,0.89,,,,,1
calibration,304092,25.55,100997.84,1009.98,0.94,,,,,1
calibration,305605,25.62,100997.23,1009.97,0.99,,,,,1
read,308771,25.61,101007.46,1010.07,0.14,0,0.14,,,
read,309773,25.59,101014.61,1010.15,-0.46,0,-0.46,,,
read,310773,25.59,101015.59,1010.16,-0.54,0,-0.54,,,
read,311773,25.57,101018.16,1010.18,-0.76,0,-0.76,,,
read,312774,25.55,101020.03,1010.20,-0.91,0,-0.91,,,
read,313775,25.54,101019.95,1010.20,-0.91,0,-0.91,,,
test,314451,25.56,101018.23,1010.18,-0.76,0,-0.76,0,1,
read,314972,25.56,101018.28,1010.18,-0.77,0,-0.77,,,
test,315920,25.53,101019.95,1010.20,-0.91,0,-0.91,0,1,
test,316434,25.51,101020.25,1010.20,-0.93,0,-0.93,0,1,
test,317056,25.53,101019.30,1010.19,-0.85,0,-0.85,0,1,
test,317678,25.51,101020.17,1010.20,-0.92,0,-0.92,0,1,
test,318325,25.49,101021.25,1010.21,-1.01,0,-1.01,0,1,
test,318839,25.48,101021.38,1010.21,-1.02,0,-1.02,0,1,
test,319356,25.50,101019.98,1010.20,-0.91,0,-0.91,0,1,
test,319866,25.49,101019.23,1010.19,-0.85,0,-0.85,0,1,
test,320383,25.49,101014.90,1010.15,-0.48,0,-0.48,0,1,
test,320900,25.49,101009.20,1010.09,-0.01,0,-0.01,0,1,
test,321419,25.50,101005.48,1010.05,0.30,0,0.30,0,1,
test,321937,25.51,101002.20,1010.02,0.58,1,-0.41,0,0,
read,322458,25.52,100998.95,1009.99,0.85,1,-0.14,,,
read,323457,25.49,100998.76,1009.99,0.86,1,-0.13,,,
test,324461,25.48,100998.58,1009.99,0.88,1,-0.11,1,1,
test,325083,25.50,100997.87,1009.98,0.94,1,-0.05,1,1,
test,325607,25.53,100997.61,1009.98,0.96,1,-0.03,1,1,
test,326224,25.56,100996.40,1009.96,1.06,1,0.07,1,1,
test,326749,25.57,100996.27,1009.96,1.07,1,0.08,1,1,
test,327274,25.61,100995.11,1009.95,1.17,1,0.18,1,1,
test,327925,25.63,100994.42,1009.94,1.23,1,0.23,1,1,
test,328442,25.63,100994.80,1009.95,1.19,1,0.20,1,1,
test,328961,25.66,100994.94,1009.95,1.18,1,0.19,1,1,
test,329479,25.69,100997.69,1009.98,0.95,1,-0.04,1,1,
read,329997,25.72,101003.52,1010.04,0.47,0,0.47,,,
read,330999,25.67,101012.78,1010.13,-0.31,0,-0.31,,,
read,332099,25.62,101017.88,1010.18,-0.73,0,-0.73,,,
test,332719,25.62,101018.55,1010.19,-0.79,0,-0.79,0,1,
test,333345,25.62,101018.34,1010.18,-0.77,0,-0.77,0,1,
test,333972,25.62,101017.95,1010.18,-0.74,0,-0.74,0,1,
test,334530,25.61,101018.72,1010.19,-0.80,0,-0.80,0,1,
test,335041,25.63,101017.63,1010.18,-0.71,0,-0.71,0,1,
test,335653,25.64,101016.93,1010.17,-0.65,0,-0.65,0,1,
test,336259,25.61,101018.49,1010.18,-0.78,0,-0.78,0,1,
test,336775,25.59,101019.30,1010.19,-0.85,0,-0.85,0,1,
test,337291,25.61,101018.10,1010.18,-0.75,0,-0.75,0,1,
test,337830,25.61,101018.36,1010.18,-0.77,0,-0.77,0,1,
test,338334,25.61,101017.83,1010.18,-0.73,0,-0.73,0,1,
test,338841,25.61,101017.35,1010.17,-0.69,0,-0.69,0,1,
test,339442,25.60,101017.98,1010.18,-0.74,0,-0.74,0,1,
test,339951,25.57,101019.73,1010.20,-0.89,0,-0.89,0,1,
read,340558,25.55,101020.23,1010.20,-0.93,0,-0.93,,,
read,341559,25.51,101021.21,1010.21,-1.01,0,-1.01,,,
read,342559,25.47,101022.20,1010.22,-1.09,0,-1.09,,,
read,343561,25.45,101022.31,1010.22,-1.10,0,-1.10,,,
read,344561,25.43,101022.38,1010.22,-1.11,0,-1.11,,,
read,345561,25.41,101022.82,1010.23,-1.15,0,-1.15,,,
read,346562,25.39,101022.61,1010.23,-1.13,0,-1.13,,,
read,347563,25.38,101022.00,1010.22,-1.08,0,-1.08,,,
read,348563,25.36,101021.81,1010.22,-1.06,0,-1.06,,,
read,349564,25.35,101021.45,1010.21,-1.03,0,-1.03,,,
read,350564,25.33,101020.68,1010.21,-0.97,0,-0.97,,,
read,351555,25.32,101020.57,1010.21,-0.96,0,-0.96,,,
read,352555,25.30,101020.21,1010.20,-0.93,0,-0.93,,,
read,353557,25.29,101019.65,1010.20,-0.88,0,-0.88,,,
read,354557,25.27,101019.54,1010.20,-0.87,0,-0.87,,,
read,355557,25.26,101019.27,1010.19,-0.85,0,-0.85,,,
