type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
calibration,177787,22.19,101345.95,1013.46,0.00,,,,,0
calibration,180648,22.19,101850.86,1018.51,0.00,,,,,0
calibration,183160,22.22,101850.16,1018.50,0.00,,,,,0
calibration,184539,22.26,101849.23,1018.49,0.00,,,,,0
calibration,209739,22.26,101827.40,1018.27,1.81,,,,,1
calibration,212108,22.26,101811.18,1018.11,3.15,,,,,1
calibration,214387,22.27,101808.85,1018.09,3.34,,,,,1
calibration,235440,22.27,101785.87,1017.86,5.25,,,,,2
calibration,238064,22.29,101769.23,1017.69,6.63,,,,,2
calibration,259108,22.34,101747.09,1017.47,8.46,,,,,3
calibration,260981,22.39,101732.17,1017.32,9.70,,,,,3
read,262516,22.39,101730.54,1017.31,9.84,3,0.14,,,
read,263515,22.38,101730.87,1017.31,9.81,3,0.11,,,
read,264515,22.38,101730.98,1017.31,9.80,3,0.10,,,
read,265515,22.38,101731.48,1017.31,9.76,3,0.06,,,
test,266009,22.40,101730.98,1017.31,9.80,3,0.10,3,1,
read,266515,22.41,101730.61,1017.31,9.83,3,0.13,,,
test,267464,22.41,101731.12,1017.31,9.79,3,0.09,3,1,
read,267926,22.42,101730.50,1017.31,9.84,3,0.14,,,
read,268925,22.42,101730.63,1017.31,9.83,3,0.13,,,
read,269925,22.42,101730.90,1017.31,9.81,3,0.11,,,
read,270925,22.42,101730.92,1017.31,9.80,3,0.10,,,
read,271925,22.42,101731.15,1017.31,9.79,3,0.09,,,
read,272925,22.43,101731.94,1017.32,9.72,3,0.02,,,
read,273925,22.43,101732.45,1017.32,9.68,3,-0.02,,,
read,274925,22.44,101732.48,1017.32,9.68,3,-0.02,,,
read,275925,22.45,101732.31,1017.32,9.69,3,-0.01,,,
read,276925,22.45,101733.39,1017.33,9.60,3,-0.10,,,
read,277925,22.46,101736.94,1017.37,9.31,3,-0.39,,,
read,278925,22.46,101742.52,1017.43,8.84,3,-0.86,,,
read,279925,22.47,101748.24,1017.48,8.37,3,-1.33,,,
read,280925,22.48,101753.94,1017.54,7.90,2,1.27,,,
read,281925,22.49,101758.55,1017.59,7.51,2,0.89,,,
read,282925,22.49,101762.41,1017.62,7.19,2,0.57,,,
read,283925,22.50,101764.81,1017.65,6.99,2,0.37,,,
read,284925,22.50,101766.04,1017.66,6.89,2,0.26,,,
