trial,time_ms,phase,threshold,angle,fsr_raw,fsr_voltage
1,20,return_to_start,20,180,2,0.0016
1,20,press,20,180,1,0.0008
1,40,press,20,179,1,0.0008
1,60,press,20,178,2,0.0016
1,80,press,20,177,0,0.0000
1,100,press,20,176,1,0.0008
1,120,press,20,175,2,0.0016
1,140,press,20,174,1,0.0008
1,160,press,20,173,2,0.0016
1,180,press,20,172,2,0.0016
1,200,press,20,171,0,0.0000
1,220,press,20,170,0,0.0000
1,240,press,20,169,1,0.0008
1,260,press,20,168,0,0.0000
1,280,press,20,167,2,0.0016
1,300,press,20,166,1,0.0008
1,320,press,20,165,5,0.0040
1,340,press,20,164,1,0.0008
1,360,press,20,163,2,0.0016
1,380,press,20,162,0,0.0000
1,400,press,20,161,1,0.0008
1,420,press,20,160,0,0.0000
1,440,press,20,159,1,0.0008
1,460,press,20,158,1,0.0008
1,480,press,20,157,2,0.0016
1,500,press,20,156,3,0.0024
1,520,press,20,155,1,0.0008
1,540,press,20,154,0,0.0000
1,560,press,20,153,3,0.0024
1,580,press,20,152,0,0.0000
1,600,press,20,151,1,0.0008
1,620,press,20,150,1,0.0008
1,640,press,20,149,1,0.0008
1,660,press,20,148,2,0.0016
1,680,press,20,147,2,0.0016
1,700,press,20,146,5,0.0040
1,720,press,20,145,1,0.0008
1,740,press,20,144,1,0.0008
1,760,press,20,143,3,0.0024
1,780,press,20,142,0,0.0000
1,800,press,20,141,0,0.0000
1,820,press,20,140,4,0.0032
1,840,press,20,139,2,0.0016
1,860,press,20,138,0,0.0000
1,880,press,20,137,1,0.0008
1,900,press,20,136,0,0.0000
1,920,press,20,135,0,0.0000
1,940,press,20,134,0,0.0000
1,960,press,20,133,5,0.0040
1,980,press,20,132,1,0.0008
1,1000,press,20,131,0,0.0000
1,1020,press,20,130,0,0.0000
1,1040,press,20,129,2,0.0016
1,1060,press,20,128,1,0.0008
1,1080,press,20,127,0,0.0000
1,1100,press,20,126,1,0.0008
1,1120,press,20,125,2,0.0016
1,1140,press,20,124,3,0.0024
1,1160,press,20,123,1,0.0008
1,1180,press,20,122,2,0.0016
1,1200,press,20,121,0,0.0000
1,1220,press,20,120,0,0.0000
1,1240,press,20,119,0,0.0000
1,1260,press,20,118,1,0.0008
1,1280,press,20,117,1,0.0008
1,1300,press,20,116,2,0.0016
1,1320,press,20,115,1,0.0008
1,1340,press,20,114,1,0.0008
1,1360,press,20,113,2,0.0016
1,1380,press,20,112,2,0.0016
1,1400,press,20,111,3,0.0024
1,1420,press,20,110,2,0.0016
1,1440,press,20,109,0,0.0000
1,1460,press,20,108,3,0.0024
1,1480,press,20,107,0,0.0000
1,1500,press,20,106,1,0.0008
1,1520,press,20,105,2,0.0016
1,1540,press,20,104,1,0.0008
1,1560,press,20,103,1,0.0008
1,1580,press,20,102,2,0.0016
1,1600,press,20,101,1,0.0008
1,1620,press,20,100,0,0.0000
1,1640,press,20,99,1,0.0008
1,1660,press,20,98,1,0.0008
1,1680,press,20,97,0,0.0000
1,1700,press,20,96,2,0.0016
1,1720,press,20,95,2,0.0016
1,1740,press,20,94,0,0.0000
1,1760,press,20,93,3,0.0024
1,1780,press,20,92,1,0.0008
1,1800,press,20,91,1,0.0008
1,1820,press,20,90,3,0.0024
1,1840,press,20,89,1,0.0008
1,1860,press,20,88,0,0.0000
1,1880,press,20,87,2,0.0016
1,1900,press,20,86,2,0.0016
