trial,time_ms,phase,threshold,angle,fsr_raw,fsr_voltage
1,19,return_to_start,20,180,0,0.0000
1,20,press,20,180,0,0.0000
1,40,press,20,179,0,0.0000
1,60,press,20,178,0,0.0000
1,80,press,20,177,1,0.0008
1,100,press,20,176,0,0.0000
1,120,press,20,175,1,0.0008
1,140,press,20,174,1,0.0008
1,160,press,20,173,2,0.0016
1,180,press,20,172,1,0.0008
1,200,press,20,171,6,0.0048
1,220,press,20,170,0,0.0000
1,240,press,20,169,1,0.0008
1,260,press,20,168,0,0.0000
1,280,press,20,167,0,0.0000
1,300,press,20,166,3,0.0024
1,320,press,20,165,3,0.0024
1,340,press,20,164,2,0.0016
1,360,press,20,163,1,0.0008
1,380,press,20,162,1,0.0008
1,400,press,20,161,2,0.0016
1,420,press,20,160,2,0.0016
1,440,press,20,159,1,0.0008
1,460,press,20,158,6,0.0048
1,480,press,20,157,0,0.0000
1,500,press,20,156,2,0.0016
1,520,press,20,155,0,0.0000
1,540,press,20,154,2,0.0016
1,560,press,20,153,1,0.0008
1,580,press,20,152,2,0.0016
1,600,press,20,151,2,0.0016
1,620,press,20,150,0,0.0000
1,640,press,20,149,0,0.0000
1,660,press,20,148,2,0.0016
1,680,press,20,147,2,0.0016
1,700,press,20,146,0,0.0000
1,720,press,20,145,0,0.0000
1,740,press,20,144,0,0.0000
1,760,press,20,143,2,0.0016
1,780,press,20,142,1,0.0008
1,800,press,20,141,2,0.0016
1,820,press,20,140,1,0.0008
1,840,press,20,139,0,0.0000
1,860,press,20,138,0,0.0000
1,880,press,20,137,4,0.0032
1,900,press,20,136,1,0.0008
1,920,press,20,135,2,0.0016
1,940,press,20,134,2,0.0016
1,960,press,20,133,2,0.0016
1,980,press,20,132,0,0.0000
1,1000,press,20,131,2,0.0016
1,1020,press,20,130,0,0.0000
1,1040,press,20,129,1,0.0008
1,1060,press,20,128,2,0.0016
1,1080,press,20,127,1,0.0008
1,1100,press,20,126,0,0.0000
1,1120,press,20,125,0,0.0000
1,1140,press,20,124,1,0.0008
1,1160,press,20,123,0,0.0000
1,1180,press,20,122,1,0.0008
1,1200,press,20,121,0,0.0000
1,1220,press,20,120,1,0.0008
1,1240,press,20,119,0,0.0000
1,1260,press,20,118,3,0.0024
1,1280,press,20,117,0,0.0000
1,1300,press,20,116,1,0.0008
1,1320,press,20,115,3,0.0024
1,1340,press,20,114,1,0.0008
1,1360,press,20,113,1,0.0008
1,1380,press,20,112,1,0.0008
1,1400,press,20,111,2,0.0016
1,1420,press,20,110,1,0.0008
1,1440,press,20,109,1,0.0008
1,1460,press,20,108,0,0.0000
1,1480,press,20,107,1,0.0008
1,1500,press,20,106,1,0.0008
1,1520,press,20,105,0,0.0000
1,1540,press,20,104,1,0.0008
