time_ms,angle,fsr_raw,fsr_voltage
20,180,1,0.0008
40,179,0,0.0000
60,178,3,0.0024
80,177,4,0.0032
100,176,4,0.0032
120,175,0,0.0000
140,174,1,0.0008
160,173,2,0.0016
180,172,0,0.0000
200,171,2,0.0016
220,170,3,0.0024
240,169,1,0.0008
260,168,7,0.0056
280,167,3,0.0024
300,166,0,0.0000
320,165,4,0.0032
340,164,1,0.0008
360,163,2,0.0016
380,162,1,0.0008
400,161,1,0.0008
420,160,4,0.0032
440,159,0,0.0000
460,158,2,0.0016
480,157,27,0.0218
500,156,1,0.0008
520,155,7,0.0056
540,154,4,0.0032
560,153,27,0.0218
580,152,2,0.0016
600,151,3,0.0024
620,150,2,0.0016
640,149,2,0.0016
660,148,72,0.0580
680,147,2,0.0016
700,146,20,0.0161
720,145,3,0.0024
740,144,4,0.0032
760,143,0,0.0000
780,142,2,0.0016
800,141,2,0.0016
820,140,9,0.0073
840,139,2,0.0016
860,138,4,0.0032
880,137,2,0.0016
900,136,2,0.0016
920,135,2,0.0016
940,134,16,0.0129
960,133,2,0.0016
980,132,27,0.0218
1000,131,0,0.0000
1020,130,0,0.0000
1040,129,1,0.0008
1060,128,2,0.0016
1080,127,24,0.0193
1100,126,0,0.0000
1120,125,0,0.0000
1140,124,2,0.0016
1160,123,25,0.0201
1180,122,2,0.0016
1200,121,23,0.0185
1220,120,2,0.0016
1240,119,6,0.0048
1260,118,2,0.0016
1280,117,3,0.0024
1300,116,0,0.0000
1320,115,19,0.0153
1340,114,3,0.0024
1360,113,4,0.0032
1380,112,3,0.0024
1400,111,2,0.0016
1420,110,4,0.0032
1440,109,1,0.0008
1460,108,1,0.0008
1480,107,2,0.0016
1500,106,2,0.0016
1520,105,2,0.0016
1540,104,1,0.0008
1560,103,2,0.0016
1580,102,2,0.0016
1600,101,1,0.0008
1620,100,27,0.0218
1640,99,0,0.0000
1660,98,8,0.0064
1680,97,1,0.0008
1700,96,5,0.0040
1720,95,23,0.0185
1740,94,2,0.0016
1760,93,23,0.0185
1780,92,2,0.0016
1800,91,53,0.0427
1820,90,1,0.0008
1840,89,0,0.0000
1860,88,2,0.0016
1880,87,4,0.0032
1900,86,2,0.0016
1920,85,1,0.0008
1940,84,1,0.0008
1960,83,1,0.0008
1980,82,3,0.0024
2000,81,20,0.0161
2020,80,1,0.0008
2040,79,60,0.0484
2060,78,4,0.0032
2080,77,4,0.0032
2100,76,2,0.0016
2120,75,8,0.0064
2140,74,2,0.0016
2160,73,1,0.0008
2180,72,2,0.0016
2200,71,5,0.0040
2220,70,7,0.0056
2240,69,3,0.0024
2260,68,23,0.0185
2280,67,3,0.0024
2300,66,3,0.0024
2320,65,1,0.0008
2340,64,2,0.0016
2360,63,3,0.0024
2380,62,3,0.0024
2400,61,1,0.0008
2420,60,1,0.0008
2440,59,4,0.0032
2460,58,2,0.0016
2480,57,1,0.0008
2500,56,2,0.0016
2520,55,18,0.0145
2540,54,1,0.0008
2560,53,3,0.0024
2580,52,1,0.0008
2600,51,1,0.0008
2620,50,7,0.0056
2640,49,3,0.0024
2660,48,2,0.0016
2680,47,2,0.0016
2700,46,16,0.0129
2720,45,5,0.0040
2740,44,7,0.0056
2760,43,105,0.0846
2780,42,1,0.0008
2800,41,75,0.0604
2820,40,5,0.0040
2840,39,1,0.0008
2860,38,124,0.0999
2880,37,5,0.0040
2900,36,3,0.0024
2920,35,40,0.0322
2940,34,7,0.0056
2960,33,2,0.0016
2980,32,92,0.0741
3000,31,3,0.0024
3020,30,3,0.0024
3040,29,19,0.0153
3060,28,3,0.0024
3080,27,3,0.0024
3100,26,76,0.0612
3120,25,24,0.0193
3140,24,3,0.0024
3160,23,21,0.0169
3180,22,27,0.0218
3200,21,4,0.0032
3220,20,92,0.0741
3240,19,188,0.1515
3260,18,4,0.0032
3280,17,153,0.1233
3300,16,62,0.0500
3320,15,7,0.0056
3340,14,137,0.1104
3360,13,205,0.1652
3380,12,5,0.0040
3400,11,106,0.0854
3420,10,265,0.2136
3440,9,58,0.0467
3460,8,152,0.1225
3480,7,250,0.2015
3500,6,73,0.0588
3520,5,219,0.1765
3540,4,302,0.2434
3560,3,44,0.0355
3580,2,345,0.2780
3600,1,361,0.2909
3620,0,364,0.2933
