epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.548,0.67399,2.51177,1.11031,0.9215,0.599,0.88293,0.72956,0.64976,2.41358,0.94799,0.000468394,0.000468394,0.000468394
2,247.533,0.60585,1.48331,1.02735,0.84459,0.85012,0.94721,0.70772,0.89309,1.41026,1.16833,0.000926022,0.000926022,0.000926022
3,376.782,0.59187,1.22758,1.01844,0.81121,0.87225,0.9184,0.70785,0.84444,1.36842,1.09651,0.00136479,0.00136479,0.00136479
4,504.718,0.58287,0.93494,1.01758,0.94308,0.98342,0.98768,0.79441,0.748,0.84068,1.02667,0.00134412,0.00134412,0.00134412
5,632.559,0.55137,0.781,0.98856,0.89007,0.94176,0.94519,0.75921,0.72769,0.86441,1.02004,0.00131582,0.00131582,0.00131582
6,757.935,0.56343,0.70232,0.9892,0.90914,0.90016,0.95777,0.75474,0.78397,0.80466,1.02723,0.00128753,0.00128753,0.00128753
7,868.39,0.5472,0.5815,0.97682,0.95856,0.97253,0.98965,0.82496,0.63612,0.57185,0.94038,0.00125923,0.00125923,0.00125923
8,979.921,0.52777,0.52041,0.96685,0.96163,0.94231,0.97207,0.78562,0.73378,0.64667,1.01805,0.00123094,0.00123094,0.00123094
9,1091.07,0.51203,0.48838,0.95923,0.96907,0.95101,0.98754,0.84178,0.62636,0.49242,0.93846,0.00120265,0.00120265,0.00120265
10,1219.21,0.50018,0.44107,0.94108,0.95653,0.95517,0.98937,0.8426,0.63544,0.51329,0.92495,0.00117435,0.00117435,0.00117435
11,1348.73,0.49127,0.4108,0.94458,0.95716,0.98176,0.97803,0.84341,0.60568,0.46594,0.93003,0.00114606,0.00114606,0.00114606
12,1477.55,0.50106,0.39422,0.94242,0.97559,0.9887,0.9889,0.83366,0.6343,0.42045,0.92144,0.00111776,0.00111776,0.00111776
13,1606.8,0.47857,0.38619,0.93522,0.96761,0.99023,0.99367,0.85818,0.59195,0.39988,0.92869,0.00108947,0.00108947,0.00108947
14,1736.53,0.47326,0.39258,0.93656,0.95835,0.97851,0.98739,0.85364,0.61305,0.42733,0.93543,0.00106118,0.00106118,0.00106118
15,1866.15,0.46082,0.35528,0.91912,0.98104,0.98444,0.99356,0.84925,0.64601,0.39304,0.92797,0.00103288,0.00103288,0.00103288
16,1995.65,0.46413,0.33814,0.9198,0.98615,0.99167,0.99362,0.87066,0.58218,0.36914,0.90756,0.00100459,0.00100459,0.00100459
17,2125.04,0.44,0.32831,0.90592,0.99308,0.99835,0.99473,0.88767,0.53006,0.33602,0.87994,0.000976293,0.000976293,0.000976293
18,2254.56,0.44235,0.31299,0.90616,0.99259,0.98609,0.99495,0.86069,0.61171,0.36614,0.9267,0.000947999,0.000947999,0.000947999
19,2383.06,0.43463,0.31687,0.8999,0.99028,1,0.99377,0.88259,0.53946,0.33368,0.88609,0.000919704,0.000919704,0.000919704
20,2511.93,0.416,0.30166,0.89974,0.9796,0.99783,0.99203,0.87067,0.55879,0.34041,0.87398,0.00089141,0.00089141,0.00089141
21,2641.23,0.41791,0.29504,0.89756,0.98236,0.99243,0.99125,0.88568,0.51044,0.32578,0.84649,0.000863116,0.000863116,0.000863116
22,2769.97,0.43095,0.29146,0.89654,0.985,0.99896,0.99491,0.89023,0.50046,0.31181,0.86786,0.000834822,0.000834822,0.000834822
23,2899.62,0.40654,0.27376,0.88943,0.98643,0.99277,0.99473,0.86711,0.59377,0.32894,0.90537,0.000806528,0.000806528,0.000806528
24,3027.06,0.4167,0.28047,0.88699,0.97308,0.99527,0.9933,0.87484,0.55233,0.31647,0.87382,0.000778233,0.000778233,0.000778233
25,3156.7,0.40097,0.26157,0.8902,0.99226,0.99361,0.99272,0.87853,0.55554,0.30414,0.89345,0.000749939,0.000749939,0.000749939
26,3286.14,0.40611,0.26695,0.88824,0.99381,0.99407,0.99309,0.87055,0.56742,0.29604,0.87942,0.000721645,0.000721645,0.000721645
27,3415.07,0.39902,0.25237,0.87838,0.98736,0.99295,0.99386,0.8897,0.52257,0.30802,0.86178,0.000693351,0.000693351,0.000693351
