epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.604,0.79008,2.44463,1.2071,0.8,0.6979,0.81678,0.6369,0.73716,2.33241,1.0968,0.000468394,0.000468394,0.000468394
2,267.836,0.75333,1.57181,1.15913,0.8238,0.76786,0.86639,0.61638,0.96921,1.66993,1.31864,0.000926022,0.000926022,0.000926022
3,401.339,0.7544,1.30753,1.15067,0.85464,0.85341,0.88649,0.64072,0.92517,2.08947,1.28917,0.00136479,0.00136479,0.00136479
4,534.186,0.76601,1.15339,1.15933,0.82982,0.81907,0.82834,0.66447,0.73878,1.31993,1.04336,0.00134412,0.00134412,0.00134412
5,667.491,0.71654,1.02168,1.11667,0.73998,0.70277,0.79018,0.57888,0.96429,1.63744,1.21411,0.00131582,0.00131582,0.00131582
6,797.065,0.72544,0.91996,1.11843,0.9187,0.94102,0.98171,0.74958,0.87571,0.75758,1.08091,0.00128753,0.00128753,0.00128753
7,927.884,0.70114,0.82392,1.10151,0.96891,0.98913,0.9927,0.85319,0.61111,0.64511,0.94181,0.00125923,0.00125923,0.00125923
8,1058.8,0.67985,0.75554,1.08413,0.93175,0.96062,0.98479,0.81028,0.67828,1.07147,1.01996,0.00123094,0.00123094,0.00123094
9,1189.42,0.66936,0.72922,1.08083,0.96368,0.95862,0.97905,0.8255,0.62897,0.59534,0.93618,0.00120265,0.00120265,0.00120265
10,1319.64,0.64909,0.70788,1.06988,0.95378,0.98462,0.98943,0.82931,0.63212,0.54697,0.93663,0.00117435,0.00117435,0.00117435
11,1450.14,0.65123,0.66342,1.07437,0.94668,0.94406,0.98316,0.85606,0.55195,0.52858,0.89273,0.00114606,0.00114606,0.00114606
12,1578.41,0.65126,0.63357,1.07379,0.96922,0.98347,0.99044,0.85104,0.59382,0.46084,0.90482,0.00111776,0.00111776,0.00111776
13,1686.08,0.61392,0.56997,1.0378,0.98246,0.97463,0.99381,0.83921,0.66145,0.47258,0.93432,0.00108947,0.00108947,0.00108947
14,1791.76,0.62355,0.59987,1.04212,0.98384,0.99892,0.99471,0.85916,0.59851,0.40645,0.90611,0.00106118,0.00106118,0.00106118
15,1897.73,0.61771,0.58173,1.05319,0.97689,0.96982,0.98674,0.84896,0.59339,0.57791,0.91565,0.00103288,0.00103288,0.00103288
16,2003.77,0.60391,0.55327,1.02858,0.9905,0.99295,0.99289,0.84644,0.6253,0.39305,0.9291,0.00100459,0.00100459,0.00100459
17,2109.27,0.56801,0.50537,1.01587,0.96215,0.98084,0.99246,0.84094,0.64578,0.40832,0.93623,0.000976293,0.000976293,0.000976293
18,2214.38,0.57858,0.52603,1.01698,0.89624,0.97665,0.9925,0.8475,0.63017,0.47312,0.9121,0.000947999,0.000947999,0.000947999
19,2329.55,0.58421,0.53638,1.01084,0.97233,0.98712,0.99215,0.83908,0.66866,0.42878,0.94903,0.000919704,0.000919704,0.000919704
