epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.932,0.57806,2.42146,0.99106,0.96165,0.60564,0.96077,0.82697,0.52854,2.38675,0.91781,0.000468394,0.000468394,0.000468394
2,292.256,0.45786,1.32745,0.88733,0.91118,0.86265,0.93638,0.7407,0.70444,1.33523,1.13454,0.000926022,0.000926022,0.000926022
3,417.933,0.45277,1.10323,0.87781,0.77807,0.54215,0.6894,0.50703,0.9335,2.14375,1.25187,0.00136479,0.00136479,0.00136479
4,534.795,0.45219,0.89372,0.87866,0.68335,0.65252,0.82382,0.66802,0.73472,1.53427,1.05504,0.00134412,0.00134412,0.00134412
5,650.894,0.42357,0.69499,0.85894,0.93631,0.96165,0.98222,0.84183,0.58007,0.73635,0.92335,0.00131582,0.00131582,0.00131582
6,771.108,0.39513,0.58924,0.84156,0.97173,0.96482,0.98733,0.85072,0.55668,0.59675,0.91499,0.00128753,0.00128753,0.00128753
7,892.996,0.37431,0.5063,0.82113,0.95451,0.95123,0.97431,0.82431,0.60827,0.65824,0.97087,0.00125923,0.00125923,0.00125923
8,996.95,0.34516,0.4384,0.80863,0.92937,0.95796,0.97542,0.86114,0.51354,0.57823,0.88871,0.00123094,0.00123094,0.00123094
9,1098.05,0.34194,0.41452,0.80372,0.97379,0.98071,0.98914,0.84298,0.57963,0.48341,0.93029,0.00120265,0.00120265,0.00120265
10,1198.65,0.32147,0.35893,0.79633,0.98363,0.96216,0.98899,0.855,0.56284,0.4738,0.93147,0.00117435,0.00117435,0.00117435
11,1298.69,0.30816,0.31629,0.78808,0.98022,0.98676,0.98851,0.86741,0.51583,0.39728,0.90419,0.00114606,0.00114606,0.00114606
12,1399.38,0.29871,0.29268,0.78067,0.97876,0.9956,0.99136,0.89099,0.47736,0.35816,0.87507,0.00111776,0.00111776,0.00111776
13,1501.32,0.26512,0.26447,0.76525,0.97544,0.99487,0.99254,0.88449,0.49458,0.34749,0.88217,0.00108947,0.00108947,0.00108947
14,1602.35,0.25142,0.24928,0.76289,0.98578,0.98637,0.99202,0.88714,0.48985,0.35937,0.88365,0.00106118,0.00106118,0.00106118
15,1702.72,0.23551,0.23506,0.7581,0.97895,0.99258,0.99241,0.89759,0.46692,0.33591,0.88312,0.00103288,0.00103288,0.00103288
16,1823.64,0.22317,0.22404,0.75142,0.98678,1,0.99311,0.90613,0.45929,0.32426,0.86014,0.00100459,0.00100459,0.00100459
17,1953.41,0.21653,0.21402,0.74956,0.98802,0.9905,0.99338,0.90218,0.47319,0.30985,0.87867,0.000976293,0.000976293,0.000976293
18,2081.52,0.20425,0.19818,0.74599,0.98981,0.99415,0.99432,0.90113,0.45604,0.2882,0.86418,0.000947999,0.000947999,0.000947999
19,2209.52,0.19939,0.19088,0.74276,0.97973,0.99958,0.99435,0.9041,0.45821,0.29773,0.87296,0.000919704,0.000919704,0.000919704
20,2338.15,0.18729,0.17915,0.7402,0.97852,0.99698,0.99353,0.90199,0.45161,0.29288,0.86931,0.00089141,0.00089141,0.00089141
21,2467.98,0.18714,0.18118,0.73871,0.98287,0.99865,0.99284,0.91261,0.44917,0.28525,0.86162,0.000863116,0.000863116,0.000863116
22,2597.97,0.1688,0.16355,0.733,0.98372,0.99244,0.99165,0.91204,0.4561,0.29887,0.86055,0.000834822,0.000834822,0.000834822
23,2728.25,0.16243,0.15791,0.7292,0.98919,0.98905,0.99334,0.90257,0.4629,0.29035,0.86885,0.000806528,0.000806528,0.000806528
24,2858.2,0.16083,0.15286,0.72837,0.98571,0.99677,0.99253,0.90248,0.46765,0.29086,0.8677,0.000778233,0.000778233,0.000778233
25,2987.72,0.15412,0.14967,0.72854,0.98151,0.99096,0.9918,0.91026,0.4373,0.28497,0.85733,0.000749939,0.000749939,0.000749939
26,3117.18,0.14142,0.14039,0.72475,0.98619,0.9908,0.9915,0.91401,0.44025,0.27769,0.85935,0.000721645,0.000721645,0.000721645
27,3246.87,0.13178,0.12845,0.72292,0.97913,0.99352,0.99406,0.91839,0.43166,0.26593,0.85108,0.000693351,0.000693351,0.000693351
28,3377.37,0.12561,0.12257,0.72003,0.97417,0.99938,0.99316,0.92296,0.4222,0.25717,0.84896,0.000665057,0.000665057,0.000665057
29,3507.74,0.1262,0.1218,0.71936,0.98533,0.99799,0.99409,0.91586,0.43275,0.25976,0.85139,0.000636762,0.000636762,0.000636762
30,3637.91,0.11632,0.11639,0.71833,0.98856,0.99667,0.99373,0.92131,0.41713,0.2476,0.8508,0.000608468,0.000608468,0.000608468
31,3767.75,0.11182,0.10967,0.71718,0.98728,0.9976,0.99332,0.91962,0.42618,0.25192,0.85452,0.000580174,0.000580174,0.000580174
32,3897.03,0.1062,0.10783,0.71744,0.99329,0.99222,0.99346,0.92241,0.42352,0.25475,0.84931,0.00055188,0.00055188,0.00055188
33,4026.58,0.10053,0.10169,0.71517,0.98199,0.99667,0.99361,0.92531,0.41432,0.24614,0.84477,0.000523586,0.000523586,0.000523586
34,4156.17,0.09794,0.09897,0.71489,0.98787,0.99943,0.99267,0.92479,0.41397,0.2453,0.84565,0.000495291,0.000495291,0.000495291
35,4287.29,0.09253,0.09562,0.71439,0.98757,0.99398,0.99307,0.92116,0.41539,0.25342,0.84556,0.000466997,0.000466997,0.000466997
36,4406.05,0.08352,0.08776,0.71262,0.98694,0.99487,0.99289,0.92678,0.41386,0.24539,0.84686,0.000438703,0.000438703,0.000438703
37,4524.78,0.07843,0.08265,0.71109,0.98568,0.99868,0.99267,0.92352,0.42184,0.25137,0.84785,0.000410409,0.000410409,0.000410409
38,4643.63,0.0748,0.07926,0.71065,0.98673,1,0.99295,0.92558,0.41787,0.2497,0.84795,0.000382115,0.000382115,0.000382115
39,4762.67,0.07644,0.0798,0.71164,0.98627,0.99786,0.99249,0.92311,0.42538,0.25366,0.85059,0.00035382,0.00035382,0.00035382
40,4881.1,0.0704,0.077,0.70895,0.98768,0.99932,0.99281,0.92712,0.42578,0.2533,0.85274,0.000325526,0.000325526,0.000325526
41,4999.67,0.06596,0.07304,0.7089,0.98851,0.99487,0.9925,0.92533,0.42276,0.25816,0.85165,0.000297232,0.000297232,0.000297232
42,5118.99,0.06089,0.06865,0.71009,0.9848,0.99905,0.99241,0.92629,0.4199,0.25346,0.85073,0.000268938,0.000268938,0.000268938
43,5239,0.05808,0.06591,0.70815,0.98502,0.99851,0.99263,0.92579,0.41859,0.2501,0.84875,0.000240644,0.000240644,0.000240644
44,5361.93,0.05372,0.06291,0.70872,0.9849,0.99882,0.99272,0.928,0.41903,0.24961,0.85005,0.000212349,0.000212349,0.000212349
45,5490.93,0.05189,0.06095,0.7081,0.98454,0.99852,0.99281,0.92719,0.41894,0.25155,0.85213,0.000184055,0.000184055,0.000184055
46,5621.17,0.05093,0.05964,0.70784,0.98469,0.9988,0.99231,0.92818,0.41657,0.2521,0.84972,0.000155761,0.000155761,0.000155761
47,5749.59,0.04615,0.0562,0.70724,0.98433,0.99865,0.99217,0.92548,0.41847,0.25383,0.85299,0.000127467,0.000127467,0.000127467
48,5878.2,0.04369,0.05443,0.70825,0.9846,0.99881,0.99217,0.92757,0.41628,0.25377,0.85189,9.91726e-05,9.91726e-05,9.91726e-05
49,6005.23,0.04018,0.05135,0.70772,0.98454,0.99855,0.99244,0.92603,0.41621,0.25536,0.85147,7.08784e-05,7.08784e-05,7.08784e-05
50,6132.41,0.03706,0.04877,0.70803,0.98444,0.9987,0.99231,0.92738,0.41623,0.25587,0.85073,4.25842e-05,4.25842e-05,4.25842e-05
