epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.763,0.97316,2.36691,1.35359,0.94082,0.56426,0.91175,0.70721,0.79376,2.40565,1.06097,0.000468394,0.000468394,0.000468394
2,264.342,0.92855,1.53556,1.29029,0.8923,0.80605,0.94293,0.64873,1.03414,1.89903,1.26209,0.000926022,0.000926022,0.000926022
3,396.532,0.92112,1.33542,1.2716,0.82742,0.80009,0.89253,0.62029,1.03947,1.60437,1.28625,0.00136479,0.00136479,0.00136479
4,523.991,0.92078,1.22517,1.26173,0.97477,0.8885,0.96791,0.69207,1.01083,1.06928,1.22008,0.00134412,0.00134412,0.00134412
5,659.637,0.91089,1.10728,1.25985,0.8741,0.8767,0.96094,0.77117,0.74104,0.94455,1.03355,0.00131582,0.00131582,0.00131582
6,792.937,0.86041,0.97108,1.22254,0.94481,0.924,0.98162,0.78867,0.75329,0.7987,1.04527,0.00128753,0.00128753,0.00128753
7,920.14,0.85434,0.90366,1.21602,0.88255,0.89857,0.97674,0.78157,0.7575,0.8155,1.05368,0.00125923,0.00125923,0.00125923
8,1046.89,0.86482,0.8871,1.23006,0.93452,0.93534,0.98746,0.76067,0.83225,0.6848,1.06666,0.00123094,0.00123094,0.00123094
9,1174.04,0.84544,0.87044,1.21839,0.95718,0.97249,0.98654,0.80631,0.73123,0.60479,1.02812,0.00120265,0.00120265,0.00120265
10,1301.24,0.81405,0.81803,1.1865,0.91385,0.873,0.96481,0.77392,0.79285,0.91243,1.06452,0.00117435,0.00117435,0.00117435
11,1428.15,0.79578,0.78228,1.17343,0.9433,0.94529,0.98241,0.77106,0.85451,0.60368,1.07604,0.00114606,0.00114606,0.00114606
12,1555.21,0.78439,0.75457,1.16714,0.97733,0.95756,0.98806,0.78961,0.78806,0.56244,1.0472,0.00111776,0.00111776,0.00111776
13,1682.51,0.7602,0.71417,1.15648,0.98143,0.97367,0.99192,0.82003,0.68972,0.49335,0.98304,0.00108947,0.00108947,0.00108947
14,1809.86,0.76712,0.68507,1.15141,0.99191,0.99632,0.99098,0.81665,0.72444,0.4285,0.9907,0.00106118,0.00106118,0.00106118
15,1938.32,0.75529,0.72373,1.15233,0.97265,0.98974,0.99318,0.8416,0.6579,0.43836,0.96798,0.00103288,0.00103288,0.00103288
16,2066.08,0.74924,0.68642,1.1465,0.90716,0.90479,0.96378,0.8178,0.64466,0.65415,0.96392,0.00100459,0.00100459,0.00100459
17,2194.17,0.72262,0.64029,1.12928,0.9918,0.98974,0.99457,0.83381,0.67882,0.38587,0.97626,0.000976293,0.000976293,0.000976293
18,2321.71,0.70813,0.63847,1.11825,0.98812,0.99913,0.99432,0.84443,0.62532,0.38082,0.94789,0.000947999,0.000947999,0.000947999
19,2449.71,0.70981,0.6582,1.1251,0.98799,0.99667,0.99469,0.8199,0.75614,0.40212,1.01945,0.000919704,0.000919704,0.000919704
20,2577.78,0.71182,0.63834,1.12032,0.98634,1,0.99332,0.83728,0.677,0.37318,0.95858,0.00089141,0.00089141,0.00089141
21,2706.08,0.71796,0.63738,1.12947,0.99342,0.99904,0.99377,0.85011,0.6196,0.36963,0.945,0.000863116,0.000863116,0.000863116
22,2833.81,0.66972,0.58979,1.09585,0.98706,0.99372,0.99324,0.86465,0.57562,0.34111,0.90843,0.000834822,0.000834822,0.000834822
23,2962.18,0.6819,0.61609,1.11231,0.98779,0.99943,0.99413,0.85684,0.59129,0.32765,0.90979,0.000806528,0.000806528,0.000806528
