epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7768,0.3963,1.88253,0.9446,0.4242,0.75684,0.67635,0.61863,0.53063,3.33427,1.26748,0.00029,0.00029,0.07129
2,109.85,0.19818,0.51555,0.7846,0.77024,0.70595,0.8284,0.74247,0.42705,7.46795,1.12442,0.000589964,0.000589964,0.04159
3,164.803,0.1815,0.44956,0.7704,0.65702,0.9568,0.95972,0.8336,0.4307,2.04699,1.10572,0.000889783,0.000889783,0.0118898
4,219.344,0.19018,0.33857,0.7609,0.87963,0.95238,0.98827,0.82087,0.48276,1.73512,1.04721,0.00099945,0.00099945,0.00099945
5,273.138,0.17794,0.26191,0.7498,0.9603,0.93983,0.97838,0.74941,0.59243,1.19756,1.30711,0.000999023,0.000999023,0.000999023
6,326.651,0.1569,0.20388,0.73185,0.90264,0.95635,0.99068,0.8697,0.44363,0.73739,0.9783,0.000998474,0.000998474,0.000998474
7,380.751,0.15652,0.21676,0.72774,0.92692,0.97222,0.97642,0.83744,0.50838,1.23933,1.0018,0.000997803,0.000997803,0.000997803
8,434.477,0.14874,0.19982,0.71949,0.9459,0.99443,0.99042,0.88557,0.43137,0.61757,0.96882,0.000997011,0.000997011,0.000997011
9,488.563,0.14553,0.1746,0.71967,0.88468,0.90707,0.98246,0.86859,0.43947,0.66091,0.99504,0.000996097,0.000996097,0.000996097
10,542.149,0.1483,0.21465,0.71977,0.92167,0.94444,0.9571,0.85162,0.43655,0.57627,0.98673,0.000995062,0.000995062,0.000995062
11,595.996,0.13349,0.18393,0.70804,0.92498,0.94357,0.95129,0.85568,0.41623,0.61165,0.99511,0.000993906,0.000993906,0.000993906
12,650.506,0.14022,0.19512,0.71448,0.93625,0.92857,0.97419,0.86068,0.42721,0.62374,1.01307,0.000992629,0.000992629,0.000992629
13,704.427,0.14302,0.18018,0.71443,0.92311,0.88997,0.93421,0.80483,0.48403,0.62337,1.00852,0.000991232,0.000991232,0.000991232
14,758.867,0.13785,0.16378,0.70928,0.96912,0.98121,0.98844,0.8924,0.43155,0.59198,1.01703,0.000989715,0.000989715,0.000989715
15,812.674,0.13071,0.14056,0.70561,0.89693,0.94666,0.98328,0.88879,0.42852,0.62224,0.9874,0.000988079,0.000988079,0.000988079
16,866.469,0.12992,0.1458,0.70407,0.96084,0.94496,0.97785,0.88756,0.44745,0.59077,1.01862,0.000986323,0.000986323,0.000986323
17,919.915,0.12496,0.12156,0.69819,0.88504,0.93651,0.97853,0.86013,0.46687,0.65467,1.0321,0.000984449,0.000984449,0.000984449
18,973.38,0.12712,0.1207,0.69442,0.90741,0.89755,0.98259,0.86054,0.46377,0.58252,1.05071,0.000982456,0.000982456,0.000982456
19,1027.29,0.1224,0.12948,0.69427,0.87638,0.84668,0.94031,0.76566,0.58346,0.98353,1.09943,0.000980345,0.000980345,0.000980345
20,1080.53,0.12735,0.18908,0.69747,0.87911,0.90517,0.94404,0.78583,0.55133,0.84572,1.04226,0.000978118,0.000978118,0.000978118
21,1133.93,0.12176,0.11421,0.68995,0.96869,0.89421,0.96784,0.87853,0.45199,0.55835,0.96935,0.000975773,0.000975773,0.000975773
22,1188.5,0.12532,0.12902,0.6874,0.98556,0.95238,0.98257,0.86952,0.43908,0.53319,0.97516,0.000973312,0.000973312,0.000973312
23,1242.03,0.12405,0.11214,0.6975,0.96313,0.97327,0.98545,0.85385,0.49851,0.52352,1.022,0.000970736,0.000970736,0.000970736
24,1295.34,0.11766,0.10623,0.68515,0.99486,0.97669,0.98667,0.85841,0.48311,0.52743,1.03298,0.000968045,0.000968045,0.000968045
25,1348.41,0.11661,0.10555,0.6884,0.98187,0.97222,0.99314,0.85946,0.45017,0.53514,0.96551,0.000965239,0.000965239,0.000965239
26,1402.13,0.11245,0.10222,0.68432,0.9949,0.97512,0.99287,0.89521,0.39812,0.47999,0.92087,0.00096232,0.00096232,0.00096232
27,1456.23,0.11258,0.09845,0.68417,0.89173,0.98413,0.99209,0.87987,0.39788,0.53755,0.89252,0.000959289,0.000959289,0.000959289
28,1509.61,0.11121,0.09875,0.68322,0.95726,0.94488,0.98374,0.87181,0.41054,0.55072,0.91486,0.000956145,0.000956145,0.000956145
29,1563.49,0.11729,0.09853,0.68985,0.96825,0.96825,0.98915,0.90115,0.39985,0.64418,0.91274,0.000952889,0.000952889,0.000952889
30,1617.38,0.11348,0.10058,0.67327,0.99278,0.96825,0.99182,0.89879,0.38794,0.51324,0.91629,0.000949524,0.000949524,0.000949524
31,1671.06,0.10588,0.0959,0.67982,0.9942,0.96607,0.99182,0.89814,0.39009,0.5472,0.92885,0.000946048,0.000946048,0.000946048
32,1725.79,0.10583,0.09355,0.67824,0.97648,0.96825,0.99164,0.8847,0.40708,0.51136,0.92708,0.000942464,0.000942464,0.000942464
33,1779.72,0.1006,0.08696,0.67527,0.98047,0.96825,0.99364,0.87964,0.40364,0.46403,0.91875,0.000938772,0.000938772,0.000938772
34,1833.3,0.10061,0.09071,0.67157,0.97693,0.96825,0.98306,0.87817,0.42233,0.50069,0.93221,0.000934973,0.000934973,0.000934973
35,1886.84,0.09613,0.08707,0.66729,0.95867,0.9465,0.98197,0.88569,0.39827,0.52304,0.92374,0.000931067,0.000931067,0.000931067
36,1940.85,0.09511,0.09022,0.66943,0.9519,0.90317,0.97583,0.88624,0.39274,0.58232,0.91952,0.000927057,0.000927057,0.000927057
37,1995.98,0.09398,0.08518,0.67099,0.9845,0.96644,0.99182,0.91955,0.39796,0.54273,0.9429,0.000922942,0.000922942,0.000922942
38,2050.37,0.09049,0.0768,0.66674,0.97945,0.96825,0.99015,0.91392,0.38781,0.55187,0.91172,0.000918725,0.000918725,0.000918725
39,2104.99,0.08397,0.07817,0.66372,0.96228,0.96825,0.98818,0.90559,0.37946,0.55038,0.91358,0.000914405,0.000914405,0.000914405
40,2159.24,0.0874,0.08781,0.66304,0.98319,0.96825,0.98246,0.90084,0.37151,0.53769,0.89651,0.000909984,0.000909984,0.000909984
41,2212.92,0.08395,0.08135,0.66197,0.97875,0.96825,0.97505,0.90464,0.38078,0.53769,0.90578,0.000905463,0.000905463,0.000905463
42,2267.43,0.08009,0.07851,0.66005,0.98239,0.96825,0.9803,0.90658,0.38332,0.60123,0.91671,0.000900844,0.000900844,0.000900844
43,2321.19,0.07984,0.07284,0.65902,0.98318,0.96825,0.98478,0.8853,0.38161,0.56419,0.93143,0.000896127,0.000896127,0.000896127
44,2374.88,0.07999,0.0737,0.66227,0.98539,0.96825,0.98257,0.90618,0.37752,0.53648,0.92266,0.000891313,0.000891313,0.000891313
45,2428.72,0.07788,0.07542,0.66044,0.98177,0.96825,0.98286,0.91024,0.37537,0.58486,0.94036,0.000886404,0.000886404,0.000886404
46,2482.75,0.07481,0.06931,0.65796,0.97981,0.96825,0.9888,0.89623,0.39489,0.58135,0.94732,0.000881401,0.000881401,0.000881401
47,2536.61,0.07259,0.06941,0.65657,0.98138,0.96825,0.98237,0.90313,0.3901,0.56504,0.91564,0.000876305,0.000876305,0.000876305
48,2590.73,0.07284,0.07015,0.65602,0.98179,0.96254,0.98156,0.8948,0.40412,0.52109,0.92125,0.000871117,0.000871117,0.000871117
49,2644.98,0.07331,0.07335,0.65917,0.98051,0.96825,0.98986,0.89807,0.39374,0.51807,0.92152,0.000865839,0.000865839,0.000865839
50,2699.17,0.07041,0.06867,0.65877,0.98339,0.96722,0.98418,0.9003,0.38642,0.57962,0.90743,0.000860473,0.000860473,0.000860473
51,2753.15,0.06807,0.06418,0.65556,0.98508,0.96137,0.98075,0.90716,0.36858,0.5774,0.87651,0.000855018,0.000855018,0.000855018
52,2808.47,0.06922,0.06569,0.65815,0.98458,0.96552,0.97672,0.88305,0.38611,0.5986,0.89793,0.000849477,0.000849477,0.000849477
53,2862.46,0.06439,0.06249,0.65125,0.98532,0.96556,0.96762,0.89298,0.38572,0.60726,0.88792,0.000843851,0.000843851,0.000843851
54,2916.65,0.06236,0.06174,0.65078,0.9827,0.96146,0.9712,0.89585,0.38371,0.59101,0.90486,0.000838141,0.000838141,0.000838141
55,2970.63,0.05915,0.05995,0.65329,0.98389,0.96825,0.98353,0.90569,0.37584,0.58096,0.90742,0.000832349,0.000832349,0.000832349
56,3025.09,0.0561,0.05842,0.64896,0.98435,0.96825,0.97379,0.89193,0.39151,0.57743,0.92732,0.000826477,0.000826477,0.000826477
57,3078.82,0.0543,0.05996,0.64922,0.98281,0.96825,0.97138,0.89027,0.39074,0.53895,0.90893,0.000820525,0.000820525,0.000820525
58,3132.62,0.05343,0.0564,0.64929,0.98334,0.96825,0.97538,0.89519,0.39674,0.55732,0.92907,0.000814495,0.000814495,0.000814495
59,3187.4,0.05506,0.058,0.64648,0.98126,0.96825,0.97551,0.89219,0.3992,0.52681,0.90857,0.000808389,0.000808389,0.000808389
60,3241.31,0.05122,0.05714,0.64854,0.98438,0.96825,0.98314,0.89329,0.39388,0.54836,0.93215,0.000802208,0.000802208,0.000802208
61,3295.26,0.05097,0.05335,0.6475,0.97308,0.96333,0.9813,0.90253,0.38773,0.60835,0.9189,0.000795954,0.000795954,0.000795954
62,3350.09,0.04633,0.04957,0.64563,0.96485,0.96825,0.98128,0.8963,0.39801,0.62411,0.93275,0.000789628,0.000789628,0.000789628
63,3404.16,0.04483,0.04873,0.64617,0.97372,0.96825,0.98097,0.90294,0.39206,0.58837,0.91643,0.000783231,0.000783231,0.000783231
64,3457.92,0.04494,0.04947,0.6457,0.98503,0.96722,0.97379,0.90631,0.38894,0.5345,0.9046,0.000776766,0.000776766,0.000776766
65,3511.62,0.04858,0.05281,0.65245,0.98534,0.96629,0.98403,0.90377,0.39659,0.54042,0.91219,0.000770234,0.000770234,0.000770234
66,3565.55,0.04731,0.05126,0.64583,0.97226,0.96294,0.97496,0.89927,0.39291,0.55987,0.90122,0.000763637,0.000763637,0.000763637
67,3619.38,0.04781,0.05036,0.64799,0.97005,0.95635,0.96782,0.89586,0.37828,0.56631,0.89772,0.000756976,0.000756976,0.000756976
68,3673.92,0.04337,0.04998,0.64142,0.97377,0.96825,0.97878,0.90458,0.38167,0.60659,0.90968,0.000750252,0.000750252,0.000750252
69,3728.77,0.04474,0.0488,0.64323,0.98219,0.96825,0.98156,0.90546,0.38591,0.63173,0.91216,0.000743468,0.000743468,0.000743468
70,3782.99,0.04234,0.04915,0.64306,0.98197,0.96825,0.97272,0.90837,0.37493,0.58046,0.90046,0.000736625,0.000736625,0.000736625
71,3836.53,0.04191,0.04746,0.64662,0.98106,0.96825,0.97065,0.89464,0.38502,0.59685,0.89771,0.000729725,0.000729725,0.000729725
72,3891.71,0.03776,0.04391,0.64461,0.9815,0.96825,0.97923,0.90094,0.37445,0.62222,0.89627,0.00072277,0.00072277,0.00072277
