epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.307,0.56036,0.9959,0.97593,0.84583,0.81748,0.8997,0.7719,0.59347,1.0852,1.05446,0.000331081,0.000331081,0.067223
2,555.268,0.47976,0.46521,0.8946,0.87422,0.8059,0.94539,0.84856,0.51726,0.87647,0.94805,0.000664374,0.000664374,0.0342229
3,828.522,0.45156,0.46929,0.88335,0.75909,0.77339,0.80531,0.62446,0.75397,1.17756,1.19847,0.000997504,0.000997504,0.00122273
4,1104.77,0.43368,0.42871,0.86089,0.85752,0.82782,0.9654,0.7955,0.6084,0.95958,0.97648,0.00099945,0.00099945,0.00099945
5,1381.76,0.4119,0.40295,0.85234,0.91104,0.89997,0.96429,0.85751,0.47427,0.57864,0.9795,0.000999023,0.000999023,0.000999023
6,1652.74,0.37741,0.33593,0.83259,0.85967,0.89393,0.96755,0.80742,0.62608,0.7026,1.02916,0.000998474,0.000998474,0.000998474
7,1922.27,0.38064,0.34464,0.83276,0.94436,0.93705,0.97851,0.89379,0.44879,0.50739,0.97131,0.000997803,0.000997803,0.000997803
8,2193.13,0.3724,0.32053,0.81933,0.88671,0.75476,0.86309,0.70592,0.73687,1.35531,1.19946,0.000997011,0.000997011,0.000997011
9,2461.67,0.34993,0.29355,0.81145,0.81841,0.88953,0.9255,0.73987,0.76189,0.68812,1.03632,0.000996097,0.000996097,0.000996097
10,2732.09,0.32731,0.26813,0.79934,0.85452,0.84481,0.93583,0.75712,0.71689,0.7607,1.08899,0.000995062,0.000995062,0.000995062
11,3002.23,0.31985,0.28047,0.79656,0.96938,0.9313,0.97333,0.87498,0.47594,0.51734,0.97444,0.000993906,0.000993906,0.000993906
12,3273.24,0.3071,0.27092,0.78682,0.95204,0.96258,0.9894,0.88136,0.45723,0.44268,0.94953,0.000992629,0.000992629,0.000992629
13,3543.26,0.29239,0.25303,0.78419,0.79711,0.78777,0.87566,0.80662,0.42429,1.30336,0.92223,0.000991232,0.000991232,0.000991232
14,3813.6,0.2743,0.23742,0.77368,0.95306,0.94612,0.98346,0.8733,0.52532,0.49249,0.96566,0.000989715,0.000989715,0.000989715
15,4077.79,0.27654,0.22797,0.77277,0.87484,0.78316,0.94543,0.7725,0.5969,0.96182,1.12549,0.000988079,0.000988079,0.000988079
16,4341.77,0.26248,0.21974,0.76754,0.95268,0.87813,0.97726,0.88468,0.46165,0.54527,0.99792,0.000986323,0.000986323,0.000986323
17,4607.45,0.25872,0.22136,0.76792,0.93955,0.92526,0.98329,0.87981,0.56618,0.60878,1.01275,0.000984449,0.000984449,0.000984449
18,4875.43,0.26472,0.21464,0.76832,0.92811,0.9446,0.97884,0.88472,0.4687,0.49093,0.98403,0.000982456,0.000982456,0.000982456
19,5138.74,0.26226,0.22129,0.76794,0.93077,0.96443,0.97715,0.88286,0.44596,0.48032,0.97331,0.000980345,0.000980345,0.000980345
20,5401.66,0.23186,0.19712,0.75704,0.97229,0.96912,0.98003,0.91633,0.40389,0.34173,0.92667,0.000978118,0.000978118,0.000978118
21,5664.97,0.22824,0.2068,0.75669,0.94187,0.95328,0.9785,0.89214,0.45378,0.47315,0.95561,0.000975773,0.000975773,0.000975773
22,5927.85,0.22695,0.19859,0.75224,0.97731,0.91927,0.98945,0.91851,0.44126,0.44559,0.90952,0.000973312,0.000973312,0.000973312
23,6194.25,0.21729,0.1841,0.74691,0.95407,0.93272,0.96695,0.86847,0.47542,0.44714,0.97265,0.000970736,0.000970736,0.000970736
24,6461.37,0.21685,0.17847,0.7472,0.92392,0.86763,0.95377,0.83252,0.54513,0.57901,0.97343,0.000968045,0.000968045,0.000968045
25,6727.81,0.21572,0.17857,0.74618,0.96203,0.95292,0.98721,0.90483,0.39903,0.40354,0.91254,0.000965239,0.000965239,0.000965239
26,6994.18,0.21103,0.17375,0.74524,0.93941,0.93664,0.97907,0.89664,0.43729,0.48885,0.92136,0.00096232,0.00096232,0.00096232
27,7261.5,0.19465,0.16819,0.7403,0.97875,0.97248,0.98865,0.9222,0.45683,0.3868,0.96076,0.000959289,0.000959289,0.000959289
