epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.638,0.57201,1.0256,0.98275,0.81398,0.74477,0.78815,0.66604,0.59639,1.28859,1.06283,0.000331081,0.000331081,0.067223
2,631.291,0.47227,0.49298,0.89273,0.93484,0.89327,0.96813,0.80333,0.65654,0.86341,1.1687,0.000664374,0.000664374,0.0342229
3,943.555,0.43827,0.44863,0.87548,0.89701,0.84105,0.94093,0.79812,0.59811,0.88638,1.08786,0.000997504,0.000997504,0.00122273
4,1240.29,0.42057,0.38793,0.85731,0.85062,0.76799,0.89324,0.77259,0.58232,0.93146,1.07152,0.00099945,0.00099945,0.00099945
5,1511.8,0.41005,0.36846,0.85248,0.83725,0.84009,0.90147,0.70641,0.82699,0.96624,1.16755,0.000999023,0.000999023,0.000999023
6,1785.15,0.39126,0.34718,0.84426,0.76879,0.72538,0.81114,0.57792,0.93225,1.21924,1.28009,0.000998474,0.000998474,0.000998474
7,2059.01,0.37486,0.31269,0.83305,0.90442,0.9144,0.9699,0.83645,0.55672,0.64215,0.96696,0.000997803,0.000997803,0.000997803
8,2325.95,0.35311,0.31479,0.81517,0.82081,0.74208,0.85368,0.71372,0.61437,1.0184,1.05822,0.000997011,0.000997011,0.000997011
9,2586.27,0.33636,0.30025,0.81142,0.86585,0.86984,0.90371,0.78487,0.55096,0.84936,1.11298,0.000996097,0.000996097,0.000996097
10,2845.17,0.32968,0.27705,0.80263,0.94204,0.8711,0.94824,0.76585,0.70902,0.84005,1.14504,0.000995062,0.000995062,0.000995062
11,3115.18,0.30937,0.28611,0.79343,0.9665,0.96349,0.98889,0.8304,0.62992,0.5472,1.12225,0.000993906,0.000993906,0.000993906
12,3384.22,0.29414,0.25389,0.78733,0.949,0.97572,0.98895,0.90281,0.46223,0.40186,0.95275,0.000992629,0.000992629,0.000992629
13,3654.03,0.28796,0.24853,0.78329,0.85009,0.93043,0.93506,0.82389,0.48088,0.60885,0.94754,0.000991232,0.000991232,0.000991232
14,3920.63,0.28939,0.23054,0.79359,0.92705,0.95466,0.97735,0.87275,0.48168,0.51459,0.96146,0.000989715,0.000989715,0.000989715
15,4187.22,0.26916,0.22333,0.7726,0.96012,0.95113,0.98687,0.87264,0.48165,0.42722,0.96605,0.000988079,0.000988079,0.000988079
16,4455.11,0.26111,0.21515,0.77113,0.95542,0.93715,0.97747,0.87872,0.4634,0.47172,0.98065,0.000986323,0.000986323,0.000986323
17,4728.31,0.25241,0.21407,0.76542,0.96038,0.95579,0.99111,0.9277,0.38666,0.34374,0.9122,0.000984449,0.000984449,0.000984449
18,5002.79,0.24522,0.20638,0.75941,0.95865,0.95793,0.98231,0.90437,0.44858,0.39848,0.94886,0.000982456,0.000982456,0.000982456
19,5271.11,0.23995,0.20819,0.75935,0.90344,0.83529,0.96868,0.86154,0.53374,0.67772,1.03387,0.000980345,0.000980345,0.000980345
20,5539.14,0.22763,0.20989,0.753,0.86566,0.74162,0.86353,0.78649,0.43082,1.16625,0.90891,0.000978118,0.000978118,0.000978118
21,5808.28,0.22187,0.20046,0.75338,0.98197,0.97421,0.98688,0.89185,0.51515,0.40356,1.01245,0.000975773,0.000975773,0.000975773
22,6075.82,0.22592,0.18449,0.75165,0.9697,0.97458,0.98729,0.8971,0.49541,0.37775,0.98508,0.000973312,0.000973312,0.000973312
23,6343.29,0.21729,0.18642,0.74881,0.95224,0.95497,0.98634,0.85327,0.62619,0.58524,1.11486,0.000970736,0.000970736,0.000970736
24,6609.45,0.21311,0.17837,0.74819,0.96149,0.95903,0.98689,0.92216,0.43375,0.37457,0.9388,0.000968045,0.000968045,0.000968045
25,6874.71,0.19716,0.16952,0.73925,0.9793,0.97772,0.99078,0.88869,0.45789,0.33677,0.92648,0.000965239,0.000965239,0.000965239
26,7150.78,0.19395,0.16458,0.73691,0.99187,0.97902,0.99352,0.91944,0.45111,0.34877,0.95727,0.00096232,0.00096232,0.00096232
27,7424.16,0.19219,0.16878,0.73956,0.93409,0.95613,0.97428,0.90185,0.39586,0.47603,0.89993,0.000959289,0.000959289,0.000959289
28,7692.49,0.18229,0.15755,0.73565,0.98019,1,0.99401,0.93049,0.4583,0.37204,0.93591,0.000956145,0.000956145,0.000956145
