epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7364,0.40536,1.99798,0.96287,0.5847,0.50794,0.37719,0.3375,0.49896,3.22356,1.1277,0.00029,0.00029,0.07129
2,143.549,0.19023,0.81218,0.78315,0.71995,0.94437,0.96574,0.87104,0.38049,5.32236,1.00588,0.000589964,0.000589964,0.04159
3,211.411,0.17591,0.4052,0.75336,0.8194,0.87732,0.87027,0.78173,0.5481,1.73388,1.27877,0.000889783,0.000889783,0.0118898
4,276.73,0.20735,0.5092,0.77115,0.56731,0.75794,0.66339,0.44328,1.34197,2.50139,2.30195,0.00099945,0.00099945,0.00099945
5,341.633,0.18196,0.31852,0.75916,0.94126,0.94421,0.98179,0.89494,0.39588,0.65726,0.93542,0.000999023,0.000999023,0.000999023
6,397.072,0.15716,0.2554,0.73141,0.98197,0.92206,0.9698,0.85665,0.53196,0.71306,0.98679,0.000998474,0.000998474,0.000998474
7,451.385,0.15356,0.2351,0.72632,0.96879,0.96713,0.99433,0.90718,0.43171,0.71008,0.92199,0.000997803,0.000997803,0.000997803
8,506.121,0.15822,0.19082,0.72726,0.79654,0.92929,0.9164,0.73349,0.71525,1.05878,1.06712,0.000997011,0.000997011,0.000997011
9,558.923,0.14866,0.22196,0.72359,0.90296,0.91769,0.97352,0.88285,0.37469,0.66529,0.8903,0.000996097,0.000996097,0.000996097
10,612.53,0.15799,0.17982,0.72988,0.96857,0.93501,0.98377,0.88979,0.41946,0.48993,0.97799,0.000995062,0.000995062,0.000995062
11,665.148,0.14602,0.17216,0.71405,0.94965,0.98313,0.97707,0.90501,0.46011,0.49705,0.9676,0.000993906,0.000993906,0.000993906
12,719.528,0.14436,0.19271,0.7155,0.95998,0.98413,0.98568,0.8627,0.50123,0.46871,1.00083,0.000992629,0.000992629,0.000992629
13,772.808,0.14421,0.16472,0.71085,0.87267,0.86119,0.93382,0.74438,0.67816,0.82285,1.13714,0.000991232,0.000991232,0.000991232
