timestamp,command,url,success,http_status,response_time_ms,response_bytes,press_finished,calibration_finished,trial,energy_saving_mode,threshold,current_threshold,threshold_reached,trigger_angle,fsr_raw,fsr_voltage,wifi_rssi_dbm,status,wifi_mode,wifi_ssid,ip,wifi_connected,current_angle,fsr_threshold,last_fsr_raw,last_fsr_voltage,last_trigger_angle,last_press_reached_threshold,last_trial_valid,operator_answer,successful_threshold,old_threshold,new_threshold,max_threshold_exceeded,next_step,response,error
2026-06-21T17:41:59.020,press,http://192.168.8.226/press,True,200,7326.84,212,yes,,1,yes,20,,yes,38,261,0.2103,-59,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=yes | trigger_angle=38 | fsr_raw=261 | fsr_voltage=0.2103 | wifi_rssi_dbm=-59 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:42:14.203,result,http://192.168.8.226/result?success=no,True,200,47.54,128,,,1,,,,,,,,-52,,,,,,,,,,,,,no,,20,25,no,call /press,Threshold increased | old_threshold=20 | new_threshold=25 | trial=1 | wifi_rssi_dbm=-52 | max_threshold_exceeded=no | next_step=call /press,
2026-06-21T17:42:22.389,press,http://192.168.8.226/press,True,200,7276.04,211,yes,,2,yes,25,,yes,40,63,0.0508,-48,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=2 | energy_saving_mode=yes | threshold=25 | threshold_reached=yes | trigger_angle=40 | fsr_raw=63 | fsr_voltage=0.0508 | wifi_rssi_dbm=-48 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:42:27.309,result,http://192.168.8.226/result?success=yes,True,200,123.19,133,,,2,,,,,,,,-38,,,,,,,,63,0.0508,40,,,yes,25,,,,,Calibration finished | successful_threshold=25 | trial=2 | last_trigger_angle=40 | last_fsr_raw=63 | last_fsr_voltage=0.0508 | wifi_rssi_dbm=-38,
2026-06-21T17:42:29.049,reset_calibration,http://192.168.8.226/reset_calibration,True,200,72.84,65,,,0,,,20,,,,,-49,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-49,
2026-06-21T17:42:39.798,reset_calibration,http://192.168.8.226/reset_calibration,True,200,162.66,65,,,0,,,20,,,,,-49,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-49,
2026-06-21T17:43:00.874,press,http://192.168.8.226/press,True,200,7818.63,208,yes,,1,yes,20,,no,0,0,0.0000,-51,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=0 | fsr_voltage=0.0000 | wifi_rssi_dbm=-51 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:43:28.541,result,http://192.168.8.226/result?success=yes,True,200,158.67,131,,,1,,,,,,,,-54,,,,,,,,0,0.0000,0,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=0 | last_fsr_raw=0 | last_fsr_voltage=0.0000 | wifi_rssi_dbm=-54,
2026-06-21T17:43:30.386,reset_calibration,http://192.168.8.226/reset_calibration,True,200,202.72,65,,,0,,,20,,,,,-52,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-52,
2026-06-21T17:43:38.375,reset_calibration,http://192.168.8.226/reset_calibration,True,200,157.46,65,,,0,,,20,,,,,-51,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-51,
2026-06-21T17:43:46.746,press,http://192.168.8.226/press,True,200,7945.28,208,yes,,1,yes,20,,no,0,0,0.0000,-52,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=0 | fsr_voltage=0.0000 | wifi_rssi_dbm=-52 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:43:59.161,result,http://192.168.8.226/result?success=no,True,200,113.57,128,,,1,,,,,,,,-39,,,,,,,,,,,,,no,,20,25,no,call /press,Threshold increased | old_threshold=20 | new_threshold=25 | trial=1 | wifi_rssi_dbm=-39 | max_threshold_exceeded=no | next_step=call /press,
2026-06-21T17:44:00.696,reset_calibration,http://192.168.8.226/reset_calibration,True,200,507.26,65,,,0,,,20,,,,,-37,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-37,
2026-06-21T17:44:09.890,press,http://192.168.8.226/press,True,200,7928.14,208,yes,,1,yes,20,,no,0,4,0.0032,-47,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=4 | fsr_voltage=0.0032 | wifi_rssi_dbm=-47 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:44:29.576,result,http://192.168.8.226/result?success=yes,True,200,240.69,131,,,1,,,,,,,,-49,,,,,,,,4,0.0032,0,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=0 | last_fsr_raw=4 | last_fsr_voltage=0.0032 | wifi_rssi_dbm=-49,
2026-06-21T17:44:31.620,reset_calibration,http://192.168.8.226/reset_calibration,True,200,218.62,65,,,0,,,20,,,,,-47,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-47,
2026-06-21T17:44:38.073,reset_calibration,http://192.168.8.226/reset_calibration,True,200,108.26,65,,,0,,,20,,,,,-48,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-48,
2026-06-21T17:44:44.531,reset_calibration,http://192.168.8.226/reset_calibration,True,200,173.09,65,,,0,,,20,,,,,-48,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-48,
2026-06-21T17:44:51.901,reset_calibration,http://192.168.8.226/reset_calibration,True,200,95.98,65,,,0,,,20,,,,,-51,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-51,
2026-06-21T17:44:55.582,status,http://192.168.8.226/status,True,200,92.98,318,,no,0,yes,,20,,,,,-45,idle,station,GL-AR300M-d28,192.168.8.226,yes,180,,173,0.1394,180,no,no,,,,,,,status=idle | calibration_finished=no | trial=0 | current_threshold=20 | energy_saving_mode=yes | wifi_mode=station | wifi_ssid=GL-AR300M-d28 | ip=192.168.8.226 | wifi_connected=yes | wifi_rssi_dbm=-45 | current_angle=180 | last_fsr_raw=173 | last_fsr_voltage=0.1394 | last_trigger_angle=180 | last_press_reached_threshold=no | last_trial_valid=no,
2026-06-21T17:45:13.277,press,http://192.168.8.226/press,True,200,8066.32,208,yes,,1,yes,20,,no,0,4,0.0032,-52,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=4 | fsr_voltage=0.0032 | wifi_rssi_dbm=-52 | next_step=call /result?success=yes or /result?success=no,
