timestamp,command,url,success,http_status,response_time_ms,response_bytes,press_finished,calibration_finished,trial,energy_saving_mode,threshold,current_threshold,threshold_reached,trigger_angle,fsr_raw,fsr_voltage,wifi_rssi_dbm,status,wifi_mode,wifi_ssid,ip,wifi_connected,current_angle,fsr_threshold,last_fsr_raw,last_fsr_voltage,last_trigger_angle,last_press_reached_threshold,last_trial_valid,operator_answer,successful_threshold,old_threshold,new_threshold,max_threshold_exceeded,next_step,response,error
2026-06-21T17:09:36.380,press,http://192.168.8.226/press,True,200,7909.13,208,yes,,1,yes,20,,no,0,3,0.0024,-50,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=3 | fsr_voltage=0.0024 | wifi_rssi_dbm=-50 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:09:41.111,result,http://192.168.8.226/result?success=yes,True,200,223.23,131,,,1,,,,,,,,-51,,,,,,,,3,0.0024,0,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=0 | last_fsr_raw=3 | last_fsr_voltage=0.0024 | wifi_rssi_dbm=-51,
2026-06-21T17:09:54.831,reset_calibration,http://192.168.8.226/reset_calibration,True,200,146.34,65,,,0,,,20,,,,,-39,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-39,
2026-06-21T17:10:24.304,press,http://192.168.8.226/press,True,200,7842.68,208,yes,,1,yes,20,,no,0,0,0.0000,-33,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=0 | fsr_voltage=0.0000 | wifi_rssi_dbm=-33 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:10:38.250,result,http://192.168.8.226/result?success=no,True,200,196.71,128,,,1,,,,,,,,-35,,,,,,,,,,,,,no,,20,25,no,call /press,Threshold increased | old_threshold=20 | new_threshold=25 | trial=1 | wifi_rssi_dbm=-35 | max_threshold_exceeded=no | next_step=call /press,
2026-06-21T17:10:47.648,press,http://192.168.8.226/press,True,200,7912.39,208,yes,,2,yes,25,,no,0,4,0.0032,-46,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=2 | energy_saving_mode=yes | threshold=25 | threshold_reached=no | trigger_angle=0 | fsr_raw=4 | fsr_voltage=0.0032 | wifi_rssi_dbm=-46 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:10:54.223,result,http://192.168.8.226/result?success=yes,True,200,24.37,131,,,2,,,,,,,,-44,,,,,,,,4,0.0032,0,,,yes,25,,,,,Calibration finished | successful_threshold=25 | trial=2 | last_trigger_angle=0 | last_fsr_raw=4 | last_fsr_voltage=0.0032 | wifi_rssi_dbm=-44,
2026-06-21T17:10:56.681,reset_calibration,http://192.168.8.226/reset_calibration,True,200,197.28,65,,,0,,,20,,,,,-33,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-33,
2026-06-21T17:11:05.055,press,http://192.168.8.226/press,True,200,7868.34,208,yes,,1,yes,20,,no,0,4,0.0032,-45,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=4 | fsr_voltage=0.0032 | wifi_rssi_dbm=-45 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:11:11.223,result,http://192.168.8.226/result?success=yes,True,200,99.51,131,,,1,,,,,,,,-49,,,,,,,,4,0.0032,0,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=0 | last_fsr_raw=4 | last_fsr_voltage=0.0032 | wifi_rssi_dbm=-49,
2026-06-21T17:11:13.884,reset_calibration,http://192.168.8.226/reset_calibration,True,200,119.65,65,,,0,,,20,,,,,-37,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-37,
2026-06-21T17:11:22.263,press,http://192.168.8.226/press,True,200,7920.62,208,yes,,1,yes,20,,no,0,0,0.0000,-38,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=0 | fsr_voltage=0.0000 | wifi_rssi_dbm=-38 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:11:28.733,result,http://192.168.8.226/result?success=yes,True,200,189.36,131,,,1,,,,,,,,-39,,,,,,,,0,0.0000,0,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=0 | last_fsr_raw=0 | last_fsr_voltage=0.0000 | wifi_rssi_dbm=-39,
