timestamp,command,url,success,http_status,response_time_ms,response_bytes,press_finished,calibration_finished,trial,energy_saving_mode,threshold,current_threshold,threshold_reached,trigger_angle,fsr_raw,fsr_voltage,wifi_rssi_dbm,status,wifi_mode,wifi_ssid,ip,wifi_connected,current_angle,fsr_threshold,last_fsr_raw,last_fsr_voltage,last_trigger_angle,last_press_reached_threshold,last_trial_valid,operator_answer,successful_threshold,old_threshold,new_threshold,max_threshold_exceeded,next_step,response,error
2026-06-21T16:59:02.147,reset_calibration,http://192.168.8.226/reset_calibration,True,200,97.36,65,,,0,,,20,,,,,-64,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-64,
2026-06-21T16:59:23.879,press,http://192.168.8.226/press,True,200,9982.33,208,yes,,1,yes,20,,no,0,4,0.0032,-65,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=4 | fsr_voltage=0.0032 | wifi_rssi_dbm=-65 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T16:59:38.184,result,http://192.168.8.226/result?success=yes,True,200,154.64,131,,,1,,,,,,,,-61,,,,,,,,4,0.0032,0,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=0 | last_fsr_raw=4 | last_fsr_voltage=0.0032 | wifi_rssi_dbm=-61,
2026-06-21T16:59:46.169,reset_calibration,http://192.168.8.226/reset_calibration,True,200,125.44,65,,,0,,,20,,,,,-61,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-61,
2026-06-21T17:00:00.484,press,http://192.168.8.226/press,True,200,7931.37,208,yes,,1,yes,20,,no,0,0,0.0000,-60,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=0 | fsr_voltage=0.0000 | wifi_rssi_dbm=-60 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:00:12.386,result,http://192.168.8.226/result?success=yes,True,200,214.06,131,,,1,,,,,,,,-64,,,,,,,,0,0.0000,0,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=0 | last_fsr_raw=0 | last_fsr_voltage=0.0000 | wifi_rssi_dbm=-64,
2026-06-21T17:00:16.075,reset_calibration,http://192.168.8.226/reset_calibration,True,200,67.64,65,,,0,,,20,,,,,-64,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-64,
2026-06-21T17:00:25.071,press,http://192.168.8.226/press,True,200,7982.63,208,yes,,1,yes,20,,no,0,0,0.0000,-62,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=0 | fsr_voltage=0.0000 | wifi_rssi_dbm=-62 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:00:29.800,result,http://192.168.8.226/result?success=yes,True,200,227.60,131,,,1,,,,,,,,-61,,,,,,,,0,0.0000,0,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=0 | last_fsr_raw=0 | last_fsr_voltage=0.0000 | wifi_rssi_dbm=-61,
2026-06-21T17:01:18.535,reset_calibration,http://192.168.8.226/reset_calibration,True,200,39.37,65,,,0,,,20,,,,,-63,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-63,
