type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
calibration,2802637,27.74,101225.68,1012.26,0.00,,,,,0
calibration,2805633,27.77,101225.12,1012.25,0.00,,,,,0
calibration,2807392,27.79,101225.18,1012.25,0.00,,,,,0
calibration,2810416,27.79,101225.58,1012.26,0.00,,,,,0
calibration,2838224,27.79,101198.05,1011.98,2.29,,,,,1
calibration,2841246,27.81,101188.33,1011.88,3.10,,,,,1
calibration,2853648,27.81,101182.05,1011.82,3.63,,,,,2
calibration,2856643,27.82,101154.50,1011.54,5.93,,,,,2
calibration,2863678,27.83,101144.66,1011.45,6.75,,,,,2
calibration,2866700,27.83,101144.33,1011.44,6.77,,,,,2
calibration,2884482,27.84,101109.75,1011.10,9.66,,,,,3
calibration,2887484,27.85,101097.91,1010.98,10.64,,,,,3
calibration,2911002,27.84,101065.13,1010.65,13.38,,,,,4
calibration,2914081,27.85,101054.08,1010.54,14.30,,,,,4
read,2935128,27.83,101055.77,1010.56,14.16,4,-0.14,,,
read,2936146,27.80,101057.18,1010.57,14.04,4,-0.26,,,
read,2937166,27.81,101057.65,1010.58,14.00,4,-0.30,,,
read,2938168,27.81,101058.04,1010.58,13.97,4,-0.33,,,
read,2939175,27.82,101057.58,1010.58,14.01,4,-0.29,,,
read,2940183,27.82,101057.88,1010.58,13.99,4,-0.32,,,
read,2941188,27.82,101058.16,1010.58,13.96,4,-0.34,,,
read,2942200,27.82,101057.81,1010.58,13.99,4,-0.31,,,
read,2943214,27.83,101057.71,1010.58,14.00,4,-0.30,,,
read,2944223,27.83,101057.52,1010.58,14.02,4,-0.29,,,
read,2945232,27.83,101057.73,1010.58,14.00,4,-0.30,,,
read,2946239,27.83,101057.69,1010.58,14.00,4,-0.30,,,
read,2947255,27.83,101057.61,1010.58,14.01,4,-0.30,,,
read,2948266,27.84,101057.90,1010.58,13.98,4,-0.32,,,
read,2949283,27.84,101057.82,1010.58,13.99,4,-0.31,,,
read,2950301,27.84,101057.89,1010.58,13.98,4,-0.32,,,
read,2951301,27.84,101057.80,1010.58,13.99,4,-0.31,,,
read,2952305,27.85,101058.12,1010.58,13.96,4,-0.34,,,
