timestamp,command,url,success,http_status,response_time_ms,response_bytes,press_finished,calibration_finished,trial,energy_saving_mode,threshold,current_threshold,threshold_reached,trigger_angle,fsr_raw,fsr_voltage,wifi_rssi_dbm,status,wifi_mode,wifi_ssid,ip,wifi_connected,current_angle,fsr_threshold,last_fsr_raw,last_fsr_voltage,last_trigger_angle,last_press_reached_threshold,last_trial_valid,operator_answer,successful_threshold,old_threshold,new_threshold,max_threshold_exceeded,next_step,response,error
2026-06-21T17:30:11.467,reset_calibration,http://192.168.8.226/reset_calibration,True,200,1166.11,65,,,0,,,20,,,,,-61,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-61,
2026-06-21T17:30:23.321,press,http://192.168.8.226/press,True,200,7897.73,208,yes,,1,yes,20,,no,0,0,0.0000,-47,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=0 | fsr_voltage=0.0000 | wifi_rssi_dbm=-47 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:30:28.045,result,http://192.168.8.226/result?success=no,True,200,121.79,128,,,1,,,,,,,,-48,,,,,,,,,,,,,no,,20,25,no,call /press,Threshold increased | old_threshold=20 | new_threshold=25 | trial=1 | wifi_rssi_dbm=-48 | max_threshold_exceeded=no | next_step=call /press,
2026-06-21T17:30:32.142,reset_calibration,http://192.168.8.226/reset_calibration,True,200,152.62,65,,,0,,,20,,,,,-47,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-47,
2026-06-21T17:31:34.197,reset_calibration,http://192.168.8.226/reset_calibration,True,200,40.84,65,,,0,,,20,,,,,-55,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-55,
2026-06-21T17:31:43.395,press,http://192.168.8.226/press,True,200,7956.43,208,yes,,1,yes,20,,no,0,0,0.0000,-56,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=0 | fsr_voltage=0.0000 | wifi_rssi_dbm=-56 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:31:55.085,result,http://192.168.8.226/result?success=no,True,200,124.75,128,,,1,,,,,,,,-48,,,,,,,,,,,,,no,,20,25,no,call /press,Threshold increased | old_threshold=20 | new_threshold=25 | trial=1 | wifi_rssi_dbm=-48 | max_threshold_exceeded=no | next_step=call /press,
2026-06-21T17:32:02.619,press,http://192.168.8.226/press,True,200,5499.72,211,yes,,2,yes,25,,yes,87,42,0.0338,-48,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=2 | energy_saving_mode=yes | threshold=25 | threshold_reached=yes | trigger_angle=87 | fsr_raw=42 | fsr_voltage=0.0338 | wifi_rssi_dbm=-48 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:32:32.671,result,http://192.168.8.226/result?success=no,True,200,1874.58,128,,,2,,,,,,,,-47,,,,,,,,,,,,,no,,25,31,no,call /press,Threshold increased | old_threshold=25 | new_threshold=31 | trial=2 | wifi_rssi_dbm=-47 | max_threshold_exceeded=no | next_step=call /press,
2026-06-21T17:32:34.202,reset_calibration,http://192.168.8.226/reset_calibration,True,200,127.38,65,,,0,,,20,,,,,-49,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-49,
2026-06-21T17:32:48.112,press,http://192.168.8.226/press,True,200,7881.11,208,yes,,1,yes,20,,no,0,0,0.0000,-46,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=no | trigger_angle=0 | fsr_raw=0 | fsr_voltage=0.0000 | wifi_rssi_dbm=-46 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T17:33:04.312,result,http://192.168.8.226/result?success=no,True,200,114.60,128,,,1,,,,,,,,-58,,,,,,,,,,,,,no,,20,25,no,call /press,Threshold increased | old_threshold=20 | new_threshold=25 | trial=1 | wifi_rssi_dbm=-58 | max_threshold_exceeded=no | next_step=call /press,
