wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-18_10-43-28-695052,1781772208.695081,20260618_104328,0.000,run_start,logger,command_trolley_ready,
2026-06-18_10-43-28-696556,1781772208.696602,20260618_104328,0.002,command,trolley_command,trolley_ready,trolley_ready
2026-06-18_10-43-28-703105,1781772208.703188,20260618_104328,0.008,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-18_10-44-29-424955,1781772269.425035,20260618_104328,60.730,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-18_10-44-29-426714,1781772269.426731,20260618_104429,0.000,run_start,logger,command_trolley_ready,
2026-06-18_10-44-29-427705,1781772269.427752,20260618_104429,0.001,command,trolley_command,trolley_ready,trolley_ready
2026-06-18_10-44-29-431126,1781772269.431184,20260618_104429,0.005,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-18_10-44-59-135829,1781772299.135914,20260618_104429,29.709,command,trolley_command,side_align,side_align
2026-06-18_10-44-59-149423,1781772299.149499,20260618_104429,29.723,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-18_10-44-59-153290,1781772299.153365,20260618_104429,29.727,physical_status,physical_alignment,status,side_align_left_started
2026-06-18_10-45-10-134564,1781772310.134642,20260618_104429,40.708,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[16, 17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3500 target_y=+0.2534 center_x=+0.2961 center_y=+0.5554 yaw=-178.31deg error_x=-0.0060 yaw_error=+1.69deg tolerance_x=0.0060 tolerance_yaw=2.00deg"
2026-06-18_10-45-10-140841,1781772310.140907,20260618_104429,40.714,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[16, 17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3500 target_y=+0.2534 center_x=+0.2961 center_y=+0.5554 yaw=-178.31deg error_x=-0.0060 yaw_error=+1.69deg tolerance_x=0.0060 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-18_10-45-25-114930,1781772325.115007,20260618_104429,55.688,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-18_10-45-25-120804,1781772325.120873,20260618_104429,55.694,dropzone_status,dropzone,status,trolley_type_unknown_live_yolo. No current non-empty /Yolov8_Inference detection in the last 90.0s; not using image-file fallback. YOLO is still enabled; wait a moment and send check_trolley_type again.
2026-06-18_10-46-07-437080,1781772367.437159,20260618_104429,98.011,command,trolley_command,drive_under,drive_under
2026-06-18_10-46-07-444111,1781772367.444184,20260618_104429,98.018,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
2026-06-18_10-46-07-447025,1781772367.447086,20260618_104429,98.020,physical_status,physical_alignment,status,drive_straight_under_started
2026-06-18_10-46-16-936492,1781772376.936568,20260618_104429,107.510,physical_status,physical_alignment,under_trolley,drive_straight_under_done
2026-06-18_10-46-16-939105,1781772376.939163,20260618_104429,107.513,dropzone_status,dropzone,under_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}"""
2026-06-18_10-48-38-289283,1781772518.289365,20260618_104429,248.863,run_end,logger,auto_closed_before_command_trolley_ready,
