wall_time_iso,node_time_sec,run_id,run_elapsed_sec,event_type,topic,phase,command,status,camera,frame_id,marker_ids,marker_count,aruco_summary_json,detections_json,detection_count,note
2026-06-16T21:42:02.809,1781638922.808969,1,0.000,run_start,,,,,,,,,,,,auto_trolley_ready
2026-06-16T21:42:02.810,1781638922.810314,1,0.001,trolley_command,,,trolley_ready,,,,,,,,,
2026-06-16T21:42:02.825,1781638922.825037,1,0.016,dropzone_status,,approach_goal_sent,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,,,,,,,
2026-06-16T21:42:22.399,1781638942.399713,1,19.591,trolley_command,,,side_align,,,,,,,,,
2026-06-16T21:42:22.402,1781638942.402726,1,19.594,physical_docking_command,,,,side_align_left,,,,,,,,
2026-06-16T21:42:22.419,1781638942.419101,1,19.610,dropzone_status,,,,side_aligning via side_align_left. Waiting for side_align_left_done.,,,,,,,,
2026-06-16T21:42:22.438,1781638942.438216,1,19.629,physical_docking_status,,,,side_align_left_started,,,,,,,,
2026-06-16T21:42:23.008,1781638943.008278,1,20.199,camera_pair_status,,,,left,,,,,,,,
2026-06-16T21:42:24.750,1781638944.750433,1,21.942,aruco,/left/aruco_markers,,,,left,camera_left_optical_link,16|17,2,"[{""id"":16,""x"":0.0061,""y"":0.0583,""z"":0.27,""yaw_rad"":3.1354},{""id"":17,""x"":-0.1588,""y"":0.0607,""z"":0.2813,""yaw_rad"":3.1351}]",,,
2026-06-16T21:42:24.975,1781638944.975003,1,22.166,aruco,/left/aruco_markers,,,,left,camera_left_optical_link,16|17,2,"[{""id"":16,""x"":0.0064,""y"":0.0587,""z"":0.2725,""yaw_rad"":3.1334},{""id"":17,""x"":-0.1599,""y"":0.0612,""z"":0.2831,""yaw_rad"":3.1345}]",,,
2026-06-16T21:42:25.233,1781638945.233680,1,22.425,aruco,/left/aruco_markers,,,,left,camera_left_optical_link,16|17,2,"[{""id"":16,""x"":0.0063,""y"":0.0581,""z"":0.27,""yaw_rad"":3.1256},{""id"":17,""x"":-0.1588,""y"":0.0607,""z"":0.2813,""yaw_rad"":3.1351}]",,,
2026-06-16T21:42:25.455,1781638945.455276,1,22.646,aruco,/left/aruco_markers,,,,left,camera_left_optical_link,16|17,2,"[{""id"":16,""x"":0.0063,""y"":0.058,""z"":0.2699,""yaw_rad"":3.1325},{""id"":17,""x"":-0.1586,""y"":0.0609,""z"":0.2809,""yaw_rad"":3.1297}]",,,
2026-06-16T21:42:25.585,1781638945.585935,1,22.777,yolo,/Yolov8_Inference,,,,,camera_left_optical_link,,,,[],0,
2026-06-16T21:42:25.692,1781638945.691982,1,22.883,aruco,/left/aruco_markers,,,,left,camera_left_optical_link,16|17,2,"[{""id"":16,""x"":0.0062,""y"":0.0584,""z"":0.2715,""yaw_rad"":3.1334},{""id"":17,""x"":-0.1595,""y"":0.0611,""z"":0.2826,""yaw_rad"":3.1268}]",,,
2026-06-16T21:42:25.934,1781638945.934087,1,23.125,aruco,/left/aruco_markers,,,,left,camera_left_optical_link,16|17,2,"[{""id"":16,""x"":0.0062,""y"":0.0578,""z"":0.2688,""yaw_rad"":3.1302},{""id"":17,""x"":-0.1588,""y"":0.0607,""z"":0.2813,""yaw_rad"":3.1351}]",,,
2026-06-16T21:42:26.392,1781638946.392367,1,23.583,aruco,/left/aruco_markers,,,,left,camera_left_optical_link,17|16,2,"[{""id"":17,""x"":-0.1128,""y"":0.0591,""z"":0.2824,""yaw_rad"":-2.963},{""id"":16,""x"":0.052,""y"":0.0588,""z"":0.2715,""yaw_rad"":3.1319}]",,,
