wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-17_20-54-29-502506,1781722469.502541,20260617_205429,0.000,run_start,logger,manual_new_run,
2026-06-17_20-55-07-989925,1781722507.990001,20260617_205429,38.488,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-17_20-55-07-991706,1781722507.991725,20260617_205507,0.000,run_start,logger,command_trolley_ready,
2026-06-17_20-55-07-992674,1781722507.992705,20260617_205507,0.001,command,trolley_command,trolley_ready,trolley_ready
2026-06-17_20-55-07-998259,1781722507.998343,20260617_205507,0.007,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-17_20-55-37-871272,1781722537.871354,20260617_205507,29.880,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-17_20-55-37-873038,1781722537.873055,20260617_205537,0.000,run_start,logger,command_trolley_ready,
2026-06-17_20-55-37-873948,1781722537.873975,20260617_205537,0.001,command,trolley_command,trolley_ready,trolley_ready
2026-06-17_20-55-37-887513,1781722537.887584,20260617_205537,0.015,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-17_20-55-44-688539,1781722544.688627,20260617_205537,6.816,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-17_20-55-44-690523,1781722544.690540,20260617_205544,0.000,run_start,logger,command_trolley_ready,
2026-06-17_20-55-44-691466,1781722544.691498,20260617_205544,0.001,command,trolley_command,trolley_ready,trolley_ready
2026-06-17_20-55-44-699255,1781722544.699346,20260617_205544,0.009,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-17_20-55-56-876947,1781722556.877023,20260617_205544,12.187,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-17_20-55-56-878458,1781722556.878509,20260617_205544,12.188,physical_status,physical_alignment,status,side_align_left_started
2026-06-17_20-55-56-885311,1781722556.885390,20260617_205544,12.195,command,trolley_command,side_align,side_align
2026-06-17_20-56-17-110825,1781722577.110903,20260617_205544,32.420,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3301 target_y=+0.2885 center_x=+0.3353 center_y=+0.5938 yaw=-179.69deg error_x=+0.0101 yaw_error=+0.31deg tolerance_x=0.0150 tolerance_yaw=2.00deg"
2026-06-17_20-56-17-112788,1781722577.112842,20260617_205544,32.422,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3301 target_y=+0.2885 center_x=+0.3353 center_y=+0.5938 yaw=-179.69deg error_x=+0.0101 yaw_error=+0.31deg tolerance_x=0.0150 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-17_20-56-19-148881,1781722579.148962,20260617_205544,34.459,yolo_detection,yolo,trash_trolley,"{""classes"": [""trash_trolley""]}"
2026-06-17_20-57-08-105993,1781722628.106072,20260617_205544,83.416,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-17_20-57-08-118640,1781722628.118719,20260617_205544,83.428,dropzone_status,dropzone,trolley_type_checked,trolley_type_checked: trash_trolley via live_yolov8_topic; remembered target=trash_dropoff. Next command: drive_under.
2026-06-17_20-57-20-469267,1781722640.469353,20260617_205544,95.779,command,trolley_command,drive_under,drive_under
2026-06-17_20-57-20-471545,1781722640.471605,20260617_205544,95.781,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
