camera,sample_index,ros_time_sec,camera_frame_id,base_frame_id,marker_id,camera_x,camera_y,camera_z,camera_qx,camera_qy,camera_qz,camera_qw,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw
rear,1,0.0,camera_rear_optical_link,base_link,5,-0.0487167995708641,0.014192782363033148,0.2273841697678485,0.022137796640981207,0.873620727790059,-0.4848792574301059,0.03447967008947907,-0.03305828932479385,-0.04871596429108191,0.1788204798498935,0.6789177998342883,-0.7315196152333279,-0.054896798160330336,0.03059436465752179
rear,1,0.0,camera_rear_optical_link,base_link,7,-0.16574740907624674,0.02087858738240629,0.2843462620880317,0.02214137967265838,0.9014077505138951,-0.4315805345577178,0.026684617489205018,0.015741643386595033,-0.16574636453831562,0.2089534434742651,0.6781988372801813,-0.7248818994692724,-0.09258936269444284,0.07758723380471179
rear,2,0.0,camera_rear_optical_link,base_link,5,-0.03739686582540835,0.012369254991073463,0.2234105277118976,0.011608220395865433,0.8717550639981789,-0.48938484000055815,0.02026908953061606,-0.035889002566046796,-0.037396045148226344,0.17548844197321456,0.6911954439446509,-0.7204402659511647,-0.04702673176270381,0.031672826935579095
rear,2,0.0,camera_rear_optical_link,base_link,3,0.05608731741443452,0.013788440364483234,0.240672584484459,-0.0115874586530315,0.8692291511722235,-0.4922597172570724,-0.04457335886341876,-0.020844379656286632,0.056088201503136564,0.1840698262842693,0.7292498080921732,-0.68155746602554,-0.014495246616014562,0.058855974445373105
rear,2,0.0,camera_rear_optical_link,base_link,7,-0.14774823870320092,0.016612705639962252,0.2751561897366232,0.015209753217505978,0.8959232096442691,-0.44369139063630253,0.01510680982199059,0.00921541492695746,-0.1477472279376681,0.20120329930099853,0.688061792961401,-0.7176797816384284,-0.0790119921871717,0.07255208601256272
rear,3,0.0,camera_rear_optical_link,base_link,5,-0.03748873907335336,0.012114654912493018,0.2230162853833707,0.011338657312673252,0.8739475364830153,-0.4855035670533717,0.019324199959290064,-0.036138707174794144,-0.037487919845214206,0.17509108123568862,0.6915481084293826,-0.7197534395646755,-0.04971328695833966,0.03528156830924113
rear,3,0.0,camera_rear_optical_link,base_link,3,0.05331839098147518,0.012267571398467405,0.22824948795407238,-0.013786895475535795,0.8791467373060509,-0.47510975863337296,-0.03437518070658616,-0.03146075029481343,0.053319229432175076,0.17744119207035336,0.7260857151502296,-0.6835191778385641,-0.03540838576347536,0.06593416412830028
rear,3,0.0,camera_rear_optical_link,base_link,7,-0.16323728882261454,0.018971571618966347,0.30305360654841057,0.013198711203155297,0.8940409297960845,-0.44707054878129404,0.025387679774271546,0.03350216592171365,-0.16323617557560702,0.2151312214097375,0.685516446908103,-0.7205477509463457,-0.08317688938466261,0.0629265023415806
front,1,0.0,camera_front_optical_link,base_link,12,0.04921141311410551,-0.0033709480990977854,0.2262109908797327,0.890573824727131,0.022659380885897595,-0.01665578020718488,0.4539685012800418,0.43673238775398393,-0.04921224403318519,0.1685151243089489,0.3658180752440223,-0.3514477478808181,-0.6276302020865304,0.5905437712507686
front,1,0.0,camera_front_optical_link,base_link,10,-0.042928715655472974,-0.006488806874220469,0.22571127442157893,0.8904819427152316,0.005744096948060603,0.03182187417424643,0.453868134343442,0.4349621439424458,0.04292788657129067,0.17112982478749422,0.37413182082417773,-0.34310075877654833,-0.5921984007379161,0.6257861488857012
front,1,0.0,camera_front_optical_link,base_link,14,0.16444625107883906,-0.0006882612345370789,0.27886366232895404,0.9108714846601121,0.025406587659545347,-0.013696560704537585,0.4116795452308117,0.4855853617414918,-0.16444727540116663,0.18833539117162112,0.3967523306908916,-0.3768568481821357,-0.6094010947855294,0.5737567513709713
rear,4,0.0,camera_rear_optical_link,base_link,5,-0.03767938569673044,0.01217725437786878,0.22403632104854873,0.010099409433571597,0.8762947186187018,-0.4813292200025828,0.018103867591450065,-0.03524069759043488,-0.037678562721565896,0.17557890463242234,0.6925646264823007,-0.7183645919200661,-0.052837545434148626,0.038919725248800184
rear,4,0.0,camera_rear_optical_link,base_link,3,0.052679933841177945,0.012199281441957893,0.22796658764133548,-0.011069664880574016,0.8785724788655764,-0.4762283511145281,-0.03456037462421182,-0.03168828173428298,0.052680771252487046,0.17725974174121178,0.724618121364665,-0.6851518031802669,-0.0333803207974901,0.06619168355790177
rear,4,0.0,camera_rear_optical_link,base_link,7,-0.16399708818095066,0.01923326746771569,0.3029512252450848,0.01685797563796882,0.8938411550774241,-0.44737114867619837,0.024957032663858472,0.033298781381248616,-0.16399597530906965,0.21532513068538275,0.6834928606051516,-0.722561474875609,-0.0812746389407246,0.06431840788161841
front,2,0.0,camera_front_optical_link,base_link,12,0.04789726231496037,-0.003906585241386654,0.2261149632107424,0.889273513337677,0.02342887929584828,-0.016256528653799687,0.45648595966046224,0.4364189932400311,-0.04789809288132681,0.16895999666479772,0.364696751492952,-0.34910523500744106,-0.6286917591694284,0.5914968184980686
front,2,0.0,camera_front_optical_link,base_link,14,0.16270468362859197,-0.0015982658700132272,0.27990325090085677,0.91011531521239,0.0190080053658088,-0.010052471139689528,0.41379675756565704,0.4861429752189973,-0.1627057117695656,0.18959948505498894,0.3930655803782663,-0.378032906095766,-0.6057722252808456,0.5793363293536653
rear,5,0.0,camera_rear_optical_link,base_link,5,-0.04130506493152316,0.012988650393510617,0.22391673120614616,0.015258677547677641,0.87290495008867,-0.4870837351551652,0.02352776694642982,-0.035691983806163424,-0.041304242392710376,0.17626374243216436,0.6875918741762405,-0.72366685490037,-0.04939237094354996,0.03292554294140625
rear,5,0.0,camera_rear_optical_link,base_link,7,-0.13450078666366205,0.019943025427587094,0.25141396054518816,-0.2096303339488553,0.8036495992668446,0.357353331089878,0.4272014061841319,-0.013709826737776876,-0.13449986309638612,0.19418759678579356,0.3062149920619796,-0.38079168495135307,-0.8528556917402321,0.18403054196160268
front,3,0.0,camera_front_optical_link,base_link,12,0.04188832903208112,-0.004619633964919445,0.22408300014737267,0.8892826428770413,0.015484510533890059,-0.01217608232613647,0.4569336429180255,0.4342760810376699,-0.04188915213468063,0.16874751144792055,0.36134462911032306,-0.35212806830520715,-0.6235104802736811,0.5972190247418859
front,3,0.0,camera_front_optical_link,base_link,10,-0.05023171941979289,-0.007335768899769096,0.2273530189066501,0.8908747744396125,-0.002411033580809716,0.04455369631668087,0.4520523103898074,0.4360921582722692,0.050230884305085675,0.17259127109962227,0.3750297257885763,-0.3440511838739033,-0.5805735554700897,0.6355437312559452
front,3,0.0,camera_front_optical_link,base_link,14,0.15433663318920637,-0.003000854292294443,0.27516567331883757,0.9080375070431125,0.016966742614441723,-0.01301327603415614,0.4183427662752681,0.48125653722757306,-0.15433764392816124,0.18886850753023887,0.38775704487529195,-0.37740883500531586,-0.6086840865730823,0.5802678072771258
rear,6,0.0,camera_rear_optical_link,base_link,3,0.047385080817002836,0.012451435158365108,0.22527519581302832,-0.0036972053723429146,0.8749431532143124,-0.4834010981947868,-0.028003349440827743,-0.034234055198609864,0.047385908343215204,0.1763508389641563,0.7182909509628239,-0.6926004109616337,-0.02883325177664617,0.059425786428811925
rear,6,0.0,camera_rear_optical_link,base_link,5,-0.042714036380026035,0.013093381551871404,0.2245034956567666,0.01577926193110741,0.8727892436225055,-0.4869966199304105,0.028709637512854644,-0.0352044523793085,-0.042713211685523014,0.1766066422987138,0.6852105852648511,-0.7258439536381158,-0.052292886735197705,0.030041018705912748
