wall_time,ros_time_sec,camera,camera_topic,frame_id,image_file,class_name,confidence,left,top,right,bottom,center_x,center_y,width,height
2026-06-17_21-35-14-621215,1781724912.6472285,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000410_2026-06-17_21-35-14-621215.jpg,,,,,,,,,,
2026-06-17_21-35-23-267801,1781724920.9609993,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000420_2026-06-17_21-35-23-267801.jpg,,,,,,,,,,
2026-06-17_21-35-31-139410,1781724928.818375,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000430_2026-06-17_21-35-31-139410.jpg,,,,,,,,,,
2026-06-17_21-35-39-034696,1781724936.912127,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000440_2026-06-17_21-35-39-034696.jpg,,,,,,,,,,
2026-06-17_21-35-46-934279,1781724944.7994168,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000450_2026-06-17_21-35-46-934279.jpg,,,,,,,,,,
2026-06-17_21-35-55-325727,1781724953.1163843,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000460_2026-06-17_21-35-55-325727.jpg,,,,,,,,,,
2026-06-17_21-36-03-407008,1781724961.2386599,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000470_2026-06-17_21-36-03-407008.jpg,,,,,,,,,,
2026-06-17_21-36-11-425977,1781724969.3518164,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000480_2026-06-17_21-36-11-425977.jpg,,,,,,,,,,
2026-06-17_21-36-19-139741,1781724976.9802246,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000490_2026-06-17_21-36-19-139741.jpg,,,,,,,,,,
2026-06-17_21-36-27-282431,1781724985.068887,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000500_2026-06-17_21-36-27-282431.jpg,,,,,,,,,,
2026-06-17_21-36-35-554880,1781724993.455733,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000510_2026-06-17_21-36-35-554880.jpg,,,,,,,,,,
2026-06-17_21-36-44-045826,1781725001.5809119,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000520_2026-06-17_21-36-44-045826.jpg,,,,,,,,,,
2026-06-17_21-36-52-388740,1781725010.1644647,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000530_2026-06-17_21-36-52-388740.jpg,,,,,,,,,,
2026-06-17_21-37-00-825577,1781725018.3496046,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_213233/images/left_frame_000540_2026-06-17_21-37-00-825577.jpg,,,,,,,,,,
