wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-19_13-35-38-302756,1781868938.302787,20260619_133538,0.000,run_start,logger,command_trolley_ready,
2026-06-19_13-35-38-304263,1781868938.304304,20260619_133538,0.002,command,trolley_command,trolley_ready,trolley_ready
2026-06-19_13-35-38-307258,1781868938.307317,20260619_133538,0.005,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_13-36-11-270822,1781868971.270901,20260619_133538,32.968,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-19_13-36-11-272558,1781868971.272575,20260619_133611,0.000,run_start,logger,command_trolley_ready,
2026-06-19_13-36-11-273476,1781868971.273509,20260619_133611,0.001,command,trolley_command,trolley_ready,trolley_ready
2026-06-19_13-36-11-276228,1781868971.276294,20260619_133611,0.004,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_13-37-08-194963,1781869028.195059,20260619_133611,56.923,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-19_13-37-08-197502,1781869028.197532,20260619_133708,0.000,run_start,logger,command_trolley_ready,
2026-06-19_13-37-08-199036,1781869028.199084,20260619_133708,0.002,command,trolley_command,trolley_ready,trolley_ready
2026-06-19_13-37-08-203294,1781869028.203356,20260619_133708,0.006,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_13-37-26-702925,1781869046.703006,20260619_133708,18.506,command,trolley_command,side_align,side_align
2026-06-19_13-37-26-708780,1781869046.708857,20260619_133708,18.511,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-19_13-37-26-710258,1781869046.710321,20260619_133708,18.513,physical_status,physical_alignment,status,side_align_left_started
2026-06-19_13-37-32-571275,1781869052.571371,20260619_133708,24.374,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[22, 23, 24, 25, 26] target_pair=[24, 25] target_x=+0.3576 target_y=+0.2541 center_x=+0.3144 center_y=-0.0530 yaw=+179.71deg error_x=+0.0016 yaw_error=-0.29deg tolerance_x=0.0060 tolerance_yaw=2.00deg"
2026-06-19_13-37-32-574208,1781869052.574284,20260619_133708,24.377,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[22, 23, 24, 25, 26] target_pair=[24, 25] target_x=+0.3576 target_y=+0.2541 center_x=+0.3144 center_y=-0.0530 yaw=+179.71deg error_x=+0.0016 yaw_error=-0.29deg tolerance_x=0.0060 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-19_13-37-34-978948,1781869054.979034,20260619_133708,26.782,yolo_detection,yolo,trash_trolley,"{""classes"": [""trash_trolley""]}"
2026-06-19_13-37-43-968504,1781869063.968579,20260619_133708,35.771,dropzone_status,dropzone,trolley_type_checked,trolley_type_checked: trash_trolley via live_yolov8_topic; remembered target=trash_dropoff. Next command: drive_under.
2026-06-19_13-37-43-971801,1781869063.971867,20260619_133708,35.775,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-19_13-38-00-510675,1781869080.510754,20260619_133708,52.313,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
2026-06-19_13-38-00-511968,1781869080.512015,20260619_133708,52.315,physical_status,physical_alignment,status,drive_straight_under_started
2026-06-19_13-38-00-516941,1781869080.517020,20260619_133708,52.320,command,trolley_command,drive_under,drive_under
2026-06-19_13-38-09-972920,1781869089.973011,20260619_133708,61.776,physical_status,physical_alignment,under_trolley,drive_straight_under_done
2026-06-19_13-38-09-976491,1781869089.976551,20260619_133708,61.779,dropzone_status,dropzone,under_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}"""
2026-06-19_13-38-44-014843,1781869124.014930,20260619_133708,95.818,command,trolley_command,fine_align,fine_align
2026-06-19_13-38-44-019192,1781869124.019284,20260619_133708,95.822,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-19_13-38-44-022311,1781869124.022490,20260619_133708,95.825,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-19_13-38-45-573353,1781869125.576366,20260619_133708,97.379,physical_status,physical_alignment,status,fine_align_under_started
2026-06-19_13-39-12-070750,1781869152.070843,20260619_133708,123.873,physical_status,physical_alignment,fine_align_complete,"fine_align_under_done | final ids=[3, 12] center_x=+0.1290 center_y=-0.0002 yaw=-12.73deg orientation=normal error_x=-0.0035 error_y=-0.0064 yaw_error=-1.73deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg"
2026-06-19_13-39-12-074796,1781869152.074861,20260619_133708,123.877,dropzone_status,dropzone,fine_align_complete,"fine_align_complete: fine_align_under_done | final ids=[3, 12] center_x=+0.1290 center_y=-0.0002 yaw=-12.73deg orientation=normal error_x=-0.0035 error_y=-0.0064 yaw_error=-1.73deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg. Remembered trash_trolley; approve delivery with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'deliver_trolley'}"""
2026-06-19_13-40-27-248245,1781869227.248349,20260619_133708,199.051,manual_mark,operator,docking sucessfull,
2026-06-19_13-40-32-503391,1781869232.503478,20260619_133708,204.306,command,trolley_command,deliver_trolley,deliver_trolley
2026-06-19_13-40-32-505854,1781869232.505921,20260619_133708,204.309,dropzone_status,dropzone,dropoff_goal_sent,"dropoff_goal_sent: remembered trash_trolley -> trash_dropoff. When the robot arrives, approve trolley release with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_out'}"""
2026-06-19_13-41-13-307342,1781869273.307435,20260619_133708,245.110,command,trolley_command,drive_out,drive_out
2026-06-19_13-41-13-308960,1781869273.309012,20260619_133708,245.112,dropzone_status,dropzone,status,drive_out_active for 7.0s. Publishing direct cmd_vel to release trolley.
2026-06-19_13-41-20-310921,1781869280.311011,20260619_133708,252.114,dropzone_status,dropzone,drive_out_done,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.
2026-06-19_13-41-20-311469,1781869280.311502,20260619_133708,252.114,run_end,logger,drive_out_done,
2026-06-19_13-41-58-818796,1781869318.818874,20260619_134158,0.000,run_start,logger,manual_mark_without_active_run,
2026-06-19_13-41-58-821957,1781869318.822144,20260619_134158,0.004,manual_mark,operator,perfect_run,
2026-06-19_13-42-16-682291,1781869336.682385,20260619_134158,17.864,run_end,logger,manual_end,
2026-06-19_13-46-53-486307,1781869613.486335,20260619_134653,0.000,run_start,logger,command_trolley_ready,
2026-06-19_13-46-53-488085,1781869613.488129,20260619_134653,0.002,command,trolley_command,trolley_ready,trolley_ready
2026-06-19_13-46-53-499885,1781869613.499991,20260619_134653,0.014,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_13-47-26-282777,1781869646.282868,20260619_134653,32.797,command,trolley_command,charging,charging
2026-06-19_13-48-00-448218,1781869680.448301,20260619_134653,66.962,command,trolley_command,charging,charging
2026-06-19_13-48-44-273425,1781869724.273515,20260619_134653,110.787,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-19_13-48-44-275478,1781869724.275504,20260619_134844,0.000,run_start,logger,command_trolley_ready,
2026-06-19_13-48-44-279590,1781869724.279662,20260619_134844,0.004,command,trolley_command,trolley_ready,trolley_ready
2026-06-19_13-48-44-280997,1781869724.281049,20260619_134844,0.006,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_13-48-59-168241,1781869739.168332,20260619_134844,14.893,command,trolley_command,side_align,side_align
2026-06-19_13-48-59-173977,1781869739.174048,20260619_134844,14.899,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-19_13-48-59-174601,1781869739.174643,20260619_134844,14.899,physical_status,physical_alignment,status,side_align_left_started
2026-06-19_13-49-06-771249,1781869746.771348,20260619_134844,22.496,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[23, 24, 25, 26] target_pair=[24, 25] target_x=+0.3594 target_y=+0.2713 center_x=+0.3676 center_y=-0.0358 yaw=+179.75deg error_x=+0.0034 yaw_error=-0.25deg tolerance_x=0.0060 tolerance_yaw=2.00deg"
2026-06-19_13-49-06-776398,1781869746.776479,20260619_134844,22.501,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[23, 24, 25, 26] target_pair=[24, 25] target_x=+0.3594 target_y=+0.2713 center_x=+0.3676 center_y=-0.0358 yaw=+179.75deg error_x=+0.0034 yaw_error=-0.25deg tolerance_x=0.0060 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-19_13-49-08-698387,1781869748.698475,20260619_134844,24.423,yolo_detection,yolo,trash_trolley,"{""classes"": [""trash_trolley""]}"
2026-06-19_13-49-26-308673,1781869766.308773,20260619_134844,42.033,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-19_13-49-26-310423,1781869766.310488,20260619_134844,42.035,dropzone_status,dropzone,trolley_type_checked,trolley_type_checked: trash_trolley via live_yolov8_topic; remembered target=trash_dropoff. Next command: drive_under.
2026-06-19_13-49-40-274334,1781869780.274418,20260619_134844,55.999,manual_mark,operator,object_detection_correct,
2026-06-19_13-49-51-345483,1781869791.345572,20260619_134844,67.070,command,trolley_command,drive_under,drive_under
2026-06-19_13-49-51-349667,1781869791.349749,20260619_134844,67.074,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
