wall_time,run_id,outcome,total_sec,time_to_approach_goal_sent,time_to_side_align_complete,time_to_trolley_type_checked,time_to_under_trolley,time_to_fine_first_aruko,time_to_fine_align_complete,time_to_dropoff_goal_sent,time_to_drive_out_done,commands,manual_marks,dropzone_status_events,physical_status_events,yolo_detection_events,last_trolley_type,last_dropzone_status,last_physical_status,events_csv
2026-06-19_13-36-11-271282,20260619_133538,auto_closed_before_command_trolley_ready,32.969,0.005,,,,,,,,trolley_ready,0,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_13-37-08-195546,20260619_133611,auto_closed_before_command_trolley_ready,56.923,0.004,,,,,,,,trolley_ready,0,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_13-41-20-311661,20260619_133708,drive_out_done,252.114,0.006,24.374,35.771,61.775,,123.873,204.308,252.113,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,1,11,7,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1290 center_y=-0.0002 yaw=-12.73deg orientation=normal error_x=-0.0035 error_y=-0.0064 yaw_error=-1.73deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_13-42-16-682802,20260619_134158,manual_end,17.864,,,,,,,,,,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_13-48-44-273947,20260619_134653,auto_closed_before_command_trolley_ready,110.788,0.014,,,,,,,,trolley_ready|charging|charging,0,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_13-51-29-654641,20260619_134844,drive_out_done,165.379,0.006,22.496,42.035,76.500,,86.696,131.050,165.378,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,2,11,7,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1306 center_y=+0.0009 yaw=-13.02deg orientation=normal error_x=-0.0019 error_y=-0.0053 yaw_error=-2.02deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_13-59-40-230836,20260619_135313,drive_out_done,386.297,0.008,37.040,46.364,76.940,,223.537,358.024,386.296,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|fine_align|fine_align|deliver_trolley|drive_out,3,15,13,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1364 center_y=+0.0001 yaw=+163.66deg orientation=flipped_180 error_x=-0.0006 error_y=-0.0037 yaw_error=-1.34deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-03-17-778587,20260619_140235,auto_closed_before_command_trolley_ready,42.196,42.098,,,,,,,,,1,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-03-51-726117,20260619_140317,auto_closed_before_command_trolley_ready,33.946,,,,,,,,,trolley_ready,0,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-06-27-134207,20260619_140351,drive_out_done,155.407,0.002,21.744,31.850,70.645,,82.943,131.975,155.406,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,2,11,7,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1389 center_y=+0.0134 yaw=+163.55deg orientation=flipped_180 error_x=+0.0019 error_y=+0.0096 yaw_error=-1.45deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-13-40-253276,20260619_140729,drive_out_done,370.364,0.003,29.581,37.856,68.885,,268.982,346.894,370.363,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|fine_align|fine_align|fine_align|deliver_trolley|drive_out,3,17,16,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1345 center_y=+0.0089 yaw=+165.30deg orientation=flipped_180 error_x=-0.0025 error_y=+0.0051 yaw_error=+0.30deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-42-34-000298,20260619_144221,auto_closed_before_command_trolley_ready,12.517,,,,,,,,,,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-45-38-264025,20260619_144234,drive_out_done,184.263,0.003,34.077,53.490,81.172,,99.369,160.208,184.262,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,2,11,7,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1291 center_y=-0.0015 yaw=-13.23deg orientation=normal error_x=-0.0034 error_y=-0.0077 yaw_error=-2.23deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-47-19-595666,20260619_144601,auto_closed_before_command_trolley_ready,78.326,,,,,,,,,charging|charging,1,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-48-06-594828,20260619_144719,auto_closed_before_command_trolley_ready,46.998,0.005,,,,,,,,trolley_ready|charging,0,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
