wall_time,ros_time_sec,camera,camera_topic,frame_id,image_file,class_name,confidence,left,top,right,bottom,center_x,center_y,width,height
2026-06-17_21-56-05-721757,1781726164.2864978,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000126_2026-06-17_21-56-05-721757.jpg,,,,,,,,,,
2026-06-17_21-56-08-047952,1781726166.0473728,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000129_2026-06-17_21-56-08-047952.jpg,,,,,,,,,,
2026-06-17_21-56-10-881011,1781726168.7022042,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000132_2026-06-17_21-56-10-881011.jpg,,,,,,,,,,
2026-06-17_21-56-13-256288,1781726171.2011003,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000135_2026-06-17_21-56-13-256288.jpg,,,,,,,,,,
2026-06-17_21-56-15-561370,1781726173.409679,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000138_2026-06-17_21-56-15-561370.jpg,,,,,,,,,,
2026-06-17_21-56-17-850184,1781726175.8298712,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000141_2026-06-17_21-56-17-850184.jpg,,,,,,,,,,
2026-06-17_21-56-20-217415,1781726178.0300355,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000144_2026-06-17_21-56-20-217415.jpg,,,,,,,,,,
2026-06-17_21-56-22-528718,1781726180.2894652,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000147_2026-06-17_21-56-22-528718.jpg,,,,,,,,,,
2026-06-17_21-56-24-818509,1781726182.721699,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000150_2026-06-17_21-56-24-818509.jpg,,,,,,,,,,
2026-06-17_21-56-27-205084,1781726185.1494157,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_215532/images/left_frame_000153_2026-06-17_21-56-27-205084.jpg,,,,,,,,,,
