timestamp,command,device_name,device_address,success,scan_ms,rssi_last_dbm,rssi_mean_dbm,rssi_min_dbm,rssi_max_dbm,rssi_samples,connect_ms,notify_setup_ms,command_write_ms,time_to_first_response_ms,response_wait_ms,disconnect_ms,total_ms,notification_count,response_line_count,press_finished,threshold,threshold_reached,trigger_angle,fsr_raw,current_angle,servo_state,response,error_stage,error
2026-06-21T21:53:10.878,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6091.18,-64,-68.83,-76,-64,6,2457.12,169.55,1.72,88.82,9164.44,2218.70,20108.12,19,10,yes,50,yes,37,117,37,,PRESS | HIT | A 37 | F 117 | T 50 | HOLD | RETURN | DONE | R 1 | A 37,,
2026-06-21T21:53:40.990,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6034.84,-75,-68.89,-77,-57,9,1379.94,172.76,1.06,134.09,9209.88,2219.61,19020.94,18,9,yes,50,yes,37,142,37,,PRESSHIT | A 37 | F 142 | T 50 | HOLD | RETURN | DONE | R 1 | A 37,,
2026-06-21T21:54:03.907,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6080.28,-64,-65.83,-74,-58,12,3887.16,173.20,1.06,134.09,9210.95,2759.26,22114.60,19,10,yes,50,yes,37,150,37,,PRESS | HIT | A 37 | F 150 | T 50 | HOLD | RETURN | DONE | R 1 | A 37,,
2026-06-21T21:54:41.926,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6042.38,-70,-68.82,-75,-60,11,1545.55,173.10,1.03,89.12,9165.37,2128.95,19059.06,19,10,yes,50,yes,37,137,37,,PRESS | HIT | A 37 | F 137 | T 50 | HOLD | RETURN | DONE | R 1 | A 37,,
2026-06-21T21:55:03.514,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6048.05,-72,-69.22,-79,-65,9,2271.43,173.70,0.99,88.88,9120.02,1859.62,19476.30,18,9,yes,50,yes,37,183,37,,PRESS | HITA 37 | F 183 | T 50 | HOLD | RETURN | DONE | R 1 | A 37,,
2026-06-21T21:55:27.599,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6026.89,-85,-73.60,-85,-64,10,1741.00,174.45,1.43,133.38,9209.34,2264.86,19420.52,19,10,yes,50,yes,37,180,37,,PRESS | HIT | A 37 | F 180 | T 50 | HOLD | RETURN | DONE | R 1 | A 37,,
2026-06-21T21:55:48.666,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6059.66,-61,-63.75,-72,-59,8,1657.16,174.05,1.41,88.26,9163.76,2264.15,19322.63,19,10,yes,50,yes,37,183,37,,PRESS | HIT | A 37 | F 183 | T 50 | HOLD | RETURN | DONE | R 1 | A 37,,
2026-06-21T21:56:09.405,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,False,6029.61,-66,-64.11,-74,-59,9,1377.60,173.41,1.04,89.25,15306.54,2691.77,25583.53,23,11,no,50,yes,37,161,37,,PRESS | HIT | A 37 | F 161 | T 50 | HOLD | RETURNDONE | R 1 | A 37 | F 161 | T 50,response,Expected completion response was not received.
2026-06-21T21:56:36.626,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6024.62,-70,-70.20,-77,-66,10,4266.08,174.47,2.41,87.44,9162.23,2759.13,22391.85,19,10,yes,50,yes,37,121,37,,PRESS | HIT | A 37 | F 121 | T 50 | HOLD | RETURN | DONE | R 1 | A 37,,
2026-06-21T21:57:01.080,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6038.30,-61,-67.80,-78,-60,10,1802.44,174.20,1.09,88.64,9119.73,2757.66,19896.94,19,10,yes,50,yes,38,89,38,,PRESS | HIT | A 38 | F 89 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
