wall_time,run_id,outcome,total_sec,time_to_approach_goal_sent,time_to_side_align_complete,time_to_trolley_type_checked,time_to_under_trolley,time_to_fine_first_aruko,time_to_fine_align_complete,time_to_dropoff_goal_sent,time_to_drive_out_done,commands,manual_marks,dropzone_status_events,physical_status_events,yolo_detection_events,last_trolley_type,last_dropzone_status,last_physical_status,events_csv
2026-06-19_19-15-26-672435,20260619_190129,drive_out_done,836.676,108.627,661.171,681.665,708.905,,768.977,811.491,836.676,check_trolley_type|drive_under,8,15,7,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1367 center_y=+0.0086 yaw=+162.97deg orientation=flipped_180 error_x=+0.0027 error_y=+0.0048 yaw_error=-2.03deg target_x=+0.1340 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
2026-06-19_19-20-22-567896,20260619_191812,drive_out_done,130.451,,,,14.029,14.028,34.071,103.468,130.451,deliver_trolley|drive_out,3,7,6,0,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1362 center_y=+0.0038 yaw=+162.96deg orientation=flipped_180 error_x=+0.0022 error_y=-0.0000 yaw_error=-2.04deg target_x=+0.1340 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
2026-06-19_19-24-27-358134,20260619_192248,auto_closed_before_command_trolley_ready,98.867,19.734,,,,,,,,,2,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
2026-06-19_19-26-44-363085,20260619_192427,drive_out_done,137.004,0.082,30.555,34.621,59.106,,72.301,108.179,137.004,trolley_ready|deliver_trolley,3,11,7,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1332 center_y=+0.0134 yaw=+163.80deg orientation=flipped_180 error_x=-0.0008 error_y=+0.0096 yaw_error=-1.20deg target_x=+0.1340 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
2026-06-19_19-31-05-082267,20260619_192936,drive_out_done,88.306,,,,11.675,,36.327,61.740,88.306,,3,7,5,0,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1289 center_y=+0.0014 yaw=-13.14deg orientation=normal error_x=-0.0036 error_y=-0.0048 yaw_error=-2.14deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
2026-06-19_19-35-28-813656,20260619_193230,drive_out_done,178.499,22.085,55.023,69.851,92.457,92.455,115.730,146.329,178.499,fine_align|drive_out|charging,4,11,8,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1364 center_y=+0.0007 yaw=-12.40deg orientation=normal error_x=+0.0039 error_y=-0.0055 yaw_error=-1.40deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
2026-06-19_19-39-31-906878,20260619_193618,drive_out_done,193.623,63.883,94.387,99.412,125.769,125.762,140.067,164.389,193.623,check_trolley_type|drive_out,4,11,8,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1331 center_y=+0.0101 yaw=-13.61deg orientation=normal error_x=+0.0006 error_y=+0.0039 yaw_error=-2.61deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
2026-06-19_19-47-37-744930,20260619_194048,drive_out_done,408.941,57.750,235.712,240.951,263.052,,289.744,380.661,408.941,side_align|fine_align|deliver_trolley|drive_out,6,13,10,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1326 center_y=+0.0010 yaw=-13.59deg orientation=normal error_x=+0.0001 error_y=-0.0052 yaw_error=-2.59deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
2026-06-19_19-55-52-437609,20260619_195121,drive_out_done,270.884,21.998,51.904,57.124,80.649,,177.217,237.237,270.884,check_trolley_type|fine_align|drive_out,5,13,10,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1378 center_y=+0.0092 yaw=+164.72deg orientation=flipped_180 error_x=+0.0038 error_y=+0.0054 yaw_error=-0.28deg target_x=+0.1340 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
2026-06-19_20-03-35-848713,20260619_195643,drive_out_done,412.741,161.017,187.980,194.372,218.147,,371.987,388.311,412.741,side_align,4,15,13,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1343 center_y=+0.0098 yaw=+164.98deg orientation=flipped_180 error_x=+0.0003 error_y=+0.0060 yaw_error=-0.02deg target_x=+0.1340 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/group4/gr4_ws/mission_run_logs/mission_run_events_20260619_185853.csv
