wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-17_21-17-40-963570,1781723860.963603,20260617_211740,0.000,run_start,logger,command_trolley_ready,
2026-06-17_21-17-40-965105,1781723860.965144,20260617_211740,0.002,command,trolley_command,trolley_ready,trolley_ready
2026-06-17_21-18-13-906946,1781723893.907022,20260617_211740,32.944,dropzone_status,dropzone,status,idle. Send trolley_ready to drive to the trolley approach pose.
2026-06-17_21-18-32-994414,1781723912.994538,20260617_211740,52.031,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-17_21-18-32-996758,1781723912.996782,20260617_211832,0.000,run_start,logger,command_trolley_ready,
2026-06-17_21-18-32-999548,1781723912.999608,20260617_211832,0.003,command,trolley_command,trolley_ready,trolley_ready
2026-06-17_21-18-33-000766,1781723913.000804,20260617_211832,0.004,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-17_21-18-47-445912,1781723927.446005,20260617_211832,14.449,command,trolley_command,side_align,side_align
2026-06-17_21-18-47-450972,1781723927.451056,20260617_211832,14.454,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-17_21-18-47-454035,1781723927.454102,20260617_211832,14.457,physical_status,physical_alignment,status,side_align_left_started
2026-06-17_21-18-57-076236,1781723937.076333,20260617_211832,24.080,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[16, 17, 18, 19] target_pair=[18, 19] target_x=+0.3307 target_y=+0.2599 center_x=+0.2257 center_y=+0.5682 yaw=+179.20deg error_x=+0.0107 yaw_error=-0.80deg tolerance_x=0.0150 tolerance_yaw=2.00deg"
2026-06-17_21-18-57-079851,1781723937.079937,20260617_211832,24.083,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[16, 17, 18, 19] target_pair=[18, 19] target_x=+0.3307 target_y=+0.2599 center_x=+0.2257 center_y=+0.5682 yaw=+179.20deg error_x=+0.0107 yaw_error=-0.80deg tolerance_x=0.0150 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-17_21-19-15-939879,1781723955.939961,20260617_211832,42.943,dropzone_status,dropzone,status,trolley_type_unknown_live_yolo. No current non-empty /Yolov8_Inference detection in the last 90.0s; not using image-file fallback. YOLO is still enabled; wait a moment and send check_trolley_type again.
2026-06-17_21-19-15-941977,1781723955.942046,20260617_211832,42.945,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-17_21-19-36-237264,1781723976.237341,20260617_211832,63.241,command,trolley_command,side_align,side_align
2026-06-17_21-19-36-243627,1781723976.243704,20260617_211832,63.247,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-17_21-19-36-244764,1781723976.244805,20260617_211832,63.248,physical_status,physical_alignment,status,side_align_left_started
2026-06-17_21-19-45-975546,1781723985.975626,20260617_211832,72.979,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[16, 17, 18, 19] target_pair=[18, 19] target_x=+0.3315 target_y=+0.2592 center_x=+0.2267 center_y=+0.5660 yaw=+179.98deg error_x=+0.0115 yaw_error=-0.02deg tolerance_x=0.0150 tolerance_yaw=2.00deg"
2026-06-17_21-19-45-977316,1781723985.977365,20260617_211832,72.981,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[16, 17, 18, 19] target_pair=[18, 19] target_x=+0.3315 target_y=+0.2592 center_x=+0.2267 center_y=+0.5660 yaw=+179.98deg error_x=+0.0115 yaw_error=-0.02deg tolerance_x=0.0150 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-17_21-19-56-237006,1781723996.237102,20260617_211832,83.240,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-17_21-19-56-248740,1781723996.248824,20260617_211832,83.252,dropzone_status,dropzone,status,trolley_type_unknown_live_yolo. No current non-empty /Yolov8_Inference detection in the last 90.0s; not using image-file fallback. YOLO is still enabled; wait a moment and send check_trolley_type again.
2026-06-17_21-22-08-910595,1781724128.910679,20260617_211832,215.914,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-17_21-22-28-010776,1781724148.010869,20260617_211832,235.014,command,trolley_command,side_align,side_align
2026-06-17_21-22-28-012907,1781724148.012972,20260617_211832,235.016,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-17_21-22-28-023442,1781724148.023519,20260617_211832,235.027,physical_status,physical_alignment,status,side_align_left_started
2026-06-17_21-22-29-276414,1781724149.276494,20260617_211832,236.280,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[16, 17, 18, 19] target_pair=[18, 19] target_x=+0.3298 target_y=+0.2593 center_x=+0.2227 center_y=+0.5657 yaw=-179.79deg error_x=+0.0098 yaw_error=+0.21deg tolerance_x=0.0150 tolerance_yaw=2.00deg"
2026-06-17_21-22-29-282376,1781724149.282453,20260617_211832,236.286,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[16, 17, 18, 19] target_pair=[18, 19] target_x=+0.3298 target_y=+0.2593 center_x=+0.2227 center_y=+0.5657 yaw=-179.79deg error_x=+0.0098 yaw_error=+0.21deg tolerance_x=0.0150 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-17_21-23-31-780448,1781724211.780535,20260617_211832,298.784,command,trolley_command,side_align,side_align
2026-06-17_21-23-31-784631,1781724211.784703,20260617_211832,298.788,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-17_21-23-31-789999,1781724211.790069,20260617_211832,298.793,physical_status,physical_alignment,status,side_align_left_started
2026-06-17_21-23-33-160386,1781724213.160466,20260617_211832,300.164,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[16, 17, 18, 19] target_pair=[18, 19] target_x=+0.3328 target_y=+0.2594 center_x=+0.2241 center_y=+0.5654 yaw=-179.66deg error_x=+0.0128 yaw_error=+0.34deg tolerance_x=0.0150 tolerance_yaw=2.00deg"
