wall_time,ros_time_sec,camera,camera_topic,frame_id,image_file,class_name,confidence,left,top,right,bottom,center_x,center_y,width,height
2026-06-19_23-04-48-615973,1781903085.6716359,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000385_2026-06-19_23-04-48-615973.jpg,,,,,,,,,,
2026-06-19_23-04-56-757518,1781903093.7733533,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000390_2026-06-19_23-04-56-757518.jpg,,,,,,,,,,
2026-06-19_23-05-04-826909,1781903101.815657,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000395_2026-06-19_23-05-04-826909.jpg,,,,,,,,,,
2026-06-19_23-05-13-124526,1781903110.155411,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000400_2026-06-19_23-05-13-124526.jpg,,,,,,,,,,
2026-06-19_23-05-21-451162,1781903118.469999,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000405_2026-06-19_23-05-21-451162.jpg,,,,,,,,,,
2026-06-19_23-05-29-656839,1781903126.8512542,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000410_2026-06-19_23-05-29-656839.jpg,,,,,,,,,,
2026-06-19_23-05-37-820173,1781903134.913948,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000415_2026-06-19_23-05-37-820173.jpg,,,,,,,,,,
2026-06-19_23-05-46-130583,1781903143.2174664,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000420_2026-06-19_23-05-46-130583.jpg,,,,,,,,,,
2026-06-19_23-05-54-321072,1781903151.5202389,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000425_2026-06-19_23-05-54-321072.jpg,,,,,,,,,,
2026-06-19_23-06-02-496669,1781903159.5899749,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000430_2026-06-19_23-06-02-496669.jpg,,,,,,,,,,
2026-06-19_23-06-10-832655,1781903167.915625,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000435_2026-06-19_23-06-10-832655.jpg,,,,,,,,,,
2026-06-19_23-06-19-099459,1781903176.2496693,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000440_2026-06-19_23-06-19-099459.jpg,,,,,,,,,,
2026-06-19_23-06-27-478039,1781903184.5487864,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000445_2026-06-19_23-06-27-478039.jpg,,,,,,,,,,
2026-06-19_23-06-35-788265,1781903192.8553543,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000450_2026-06-19_23-06-35-788265.jpg,,,,,,,,,,
2026-06-19_23-06-44-035249,1781903201.1965327,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000455_2026-06-19_23-06-44-035249.jpg,,,,,,,,,,
2026-06-19_23-06-52-200226,1781903209.2895637,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000460_2026-06-19_23-06-52-200226.jpg,,,,,,,,,,
2026-06-19_23-07-00-399219,1781903217.5851727,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000465_2026-06-19_23-07-00-399219.jpg,,,,,,,,,,
2026-06-19_23-07-08-676997,1781903225.7020094,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000470_2026-06-19_23-07-08-676997.jpg,,,,,,,,,,
2026-06-19_23-07-16-965369,1781903233.8576145,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000475_2026-06-19_23-07-16-965369.jpg,,,,,,,,,,
2026-06-19_23-07-25-274533,1781903242.1609464,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000480_2026-06-19_23-07-25-274533.jpg,,,,,,,,,,
2026-06-19_23-07-33-711332,1781903250.7257059,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000485_2026-06-19_23-07-33-711332.jpg,,,,,,,,,,
2026-06-19_23-07-42-124134,1781903259.1571202,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000490_2026-06-19_23-07-42-124134.jpg,,,,,,,,,,
2026-06-19_23-07-50-437096,1781903267.4702926,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000495_2026-06-19_23-07-50-437096.jpg,,,,,,,,,,
2026-06-19_23-07-58-821210,1781903275.86682,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000500_2026-06-19_23-07-58-821210.jpg,,,,,,,,,,
2026-06-19_23-08-06-936518,1781903283.9630144,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000505_2026-06-19_23-08-06-936518.jpg,,,,,,,,,,
2026-06-19_23-08-15-252606,1781903292.2679965,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000510_2026-06-19_23-08-15-252606.jpg,,,,,,,,,,
2026-06-19_23-08-23-632354,1781903300.6512508,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000515_2026-06-19_23-08-23-632354.jpg,,,,,,,,,,
2026-06-19_23-08-32-057271,1781903309.0396953,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000520_2026-06-19_23-08-32-057271.jpg,,,,,,,,,,
2026-06-19_23-08-40-275960,1781903317.195729,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000525_2026-06-19_23-08-40-275960.jpg,,,,,,,,,,
2026-06-19_23-08-48-538407,1781903325.5623465,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000530_2026-06-19_23-08-48-538407.jpg,,,,,,,,,,
2026-06-19_23-08-56-936131,1781903333.9237578,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000535_2026-06-19_23-08-56-936131.jpg,,,,,,,,,,
2026-06-19_23-09-05-208513,1781903342.2755234,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000540_2026-06-19_23-09-05-208513.jpg,,,,,,,,,,
2026-06-19_23-09-13-441771,1781903350.3923755,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000545_2026-06-19_23-09-13-441771.jpg,,,,,,,,,,
2026-06-19_23-09-21-723477,1781903358.7508683,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000550_2026-06-19_23-09-21-723477.jpg,,,,,,,,,,
2026-06-19_23-09-30-093542,1781903367.1143985,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000555_2026-06-19_23-09-30-093542.jpg,,,,,,,,,,
2026-06-19_23-09-38-376627,1781903375.4335685,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000560_2026-06-19_23-09-38-376627.jpg,,,,,,,,,,
2026-06-19_23-09-46-810289,1781903384.0033486,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000565_2026-06-19_23-09-46-810289.jpg,,,,,,,,,,
2026-06-19_23-09-55-247664,1781903392.3370183,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000570_2026-06-19_23-09-55-247664.jpg,,,,,,,,,,
2026-06-19_23-10-03-650810,1781903400.728574,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000575_2026-06-19_23-10-03-650810.jpg,,,,,,,,,,
2026-06-19_23-10-11-890045,1781903408.8519528,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000580_2026-06-19_23-10-11-890045.jpg,,,,,,,,,,
2026-06-19_23-10-20-345093,1781903417.4344587,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000585_2026-06-19_23-10-20-345093.jpg,,,,,,,,,,
2026-06-19_23-10-28-712228,1781903425.730231,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000590_2026-06-19_23-10-28-712228.jpg,,,,,,,,,,
2026-06-19_23-10-37-047692,1781903434.0968642,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000595_2026-06-19_23-10-37-047692.jpg,,,,,,,,,,
2026-06-19_23-10-45-408912,1781903442.3828628,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000600_2026-06-19_23-10-45-408912.jpg,,,,,,,,,,
2026-06-19_23-10-53-768453,1781903450.7286112,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000605_2026-06-19_23-10-53-768453.jpg,,,,,,,,,,
2026-06-19_23-11-02-139391,1781903459.057221,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000610_2026-06-19_23-11-02-139391.jpg,,,,,,,,,,
2026-06-19_23-11-10-540670,1781903467.5736144,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260619_230312/images/left_frame_000615_2026-06-19_23-11-10-540670.jpg,,,,,,,,,,
