wall_time,ros_time_sec,camera,camera_topic,frame_id,image_file,class_name,confidence,left,top,right,bottom,center_x,center_y,width,height
2026-06-17_20-49-27-393376,1781722165.3099988,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000005_2026-06-17_20-49-27-393376.jpg,,,,,,,,,,
2026-06-17_20-49-31-340311,1781722169.2147124,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000010_2026-06-17_20-49-31-340311.jpg,,,,,,,,,,
2026-06-17_20-49-35-296972,1781722172.9522064,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000015_2026-06-17_20-49-35-296972.jpg,,,,,,,,,,
2026-06-17_20-49-39-757405,1781722177.4541936,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000020_2026-06-17_20-49-39-757405.jpg,,,,,,,,,,
2026-06-17_20-49-43-755798,1781722181.7065187,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000025_2026-06-17_20-49-43-755798.jpg,,,,,,,,,,
2026-06-17_20-49-47-575529,1781722185.3728435,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000030_2026-06-17_20-49-47-575529.jpg,,,,,,,,,,
2026-06-17_20-49-51-521351,1781722189.3932173,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000035_2026-06-17_20-49-51-521351.jpg,,,,,,,,,,
2026-06-17_20-49-55-510061,1781722193.3338852,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000040_2026-06-17_20-49-55-510061.jpg,,,,,,,,,,
2026-06-17_20-49-59-314462,1781722197.0604439,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000045_2026-06-17_20-49-59-314462.jpg,trash_trolley,0.10102317482233047,28,0,1270,720,649.0,360.0,1242,720
2026-06-17_20-50-03-280249,1781722201.2006912,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000050_2026-06-17_20-50-03-280249.jpg,,,,,,,,,,
2026-06-17_20-50-07-210562,1781722205.1236353,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000055_2026-06-17_20-50-07-210562.jpg,,,,,,,,,,
2026-06-17_20-50-11-170245,1781722209.0212536,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000060_2026-06-17_20-50-11-170245.jpg,,,,,,,,,,
2026-06-17_20-50-15-012858,1781722212.979127,left,/camera_left/image_raw,camera_left_optical_link,/home/rocket/gr4_ws/yolo_detection_logs/left_20260617_204828/images/left_frame_000065_2026-06-17_20-50-15-012858.jpg,,,,,,,,,,
