run,success,failure_reason,failure_detail,duration_sec,startup_duration_sec,command_to_success_sec,mission_started_sec,attach_sec,detach_sec,dropoff_detected_sec,charging_detected_sec,last_trolley_x,last_trolley_y,last_robot_x,last_robot_y,mission_param_overrides,holonomic_param_overrides,last_log_line
1,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.043,9.633,,11.81,107.463,209.496,182.793,274.319,4.7619,-1.4551,0.0012,0.0267,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-23] [INFO] [1779394287.460148835] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
2,False,local_target_timeout,"[python3-22] [ERROR] [1779394656.019190059] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.027, yaw=+1.58 deg",231.632,9.482,,11.659,119.937,,195.728,,5.2019,0.0104,5.2008,0.0267,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-23] [INFO] [1779394656.019877081] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
3,False,test_setup_failed,Could not apply mission controller test parameters.,11.539,9.536,,,,,,,,,,,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779394666.070062669] [nav2_trolley_mission_controller]: Trolley mission controller ready. Publish 'trolley_ready' on /trolley_command to run charging -> pickup -> dropoff -> home via /holonomic_goal. mission_step=step0
4,True,,,279.106,9.281,279.105,14.051,112.674,212.67,187.567,278.099,5.1765,-0.0992,0.0009,0.0989,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779394941.865702606] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
5,True,,,277.831,9.386,277.83,13.314,110.279,211.097,182.28,276.825,5.2116,-0.0289,-0.0002,0.1106,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779395220.678045971] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
6,False,test_setup_failed,Could not apply mission controller test parameters.,11.587,9.584,,,,,,,,,,,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779395241.325409464] [nav2_trolley_mission_controller]: Trolley mission controller ready. Publish 'trolley_ready' on /trolley_command to run charging -> pickup -> dropoff -> home via /holonomic_goal. mission_step=step0
7,False,local_target_timeout,"[python3-22] [ERROR] [1779395469.773832369] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.028, yaw=-5.05 deg",221.26,9.288,,11.458,111.788,,184.951,,5.203,0.0122,5.1979,0.028,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779395469.775086268] [nav2_trolley_mission_controller]: Set holonomic lidar ignore radius to 0.00 m.
8,True,,,277.643,9.437,277.641,12.11,111.487,210.352,185.609,276.635,5.2217,-0.0742,-0.0014,0.1112,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779395737.802327736] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
9,False,test_setup_failed,Could not apply mission controller test parameters.,11.537,9.533,,,,,,,,,,,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779395758.635979210] [nav2_trolley_mission_controller]: Trolley mission controller ready. Publish 'trolley_ready' on /trolley_command to run charging -> pickup -> dropoff -> home via /holonomic_goal. mission_step=step0
10,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.019,9.28,,11.452,123.145,223.986,194.513,290.074,5.1592,-0.6491,0.001,0.0264,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=3.2;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-23] [INFO] [1779396065.368956424] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
