run,success,failure_reason,failure_detail,duration_sec,startup_duration_sec,command_to_success_sec,mission_started_sec,attach_sec,detach_sec,dropoff_detected_sec,charging_detected_sec,last_trolley_x,last_trolley_y,last_robot_x,last_robot_y,mission_param_overrides,holonomic_param_overrides,last_log_line
1,True,,,266.6,9.584,266.598,14.502,132.108,200.061,172.555,265.593,5.2106,-0.0483,-0.0001,0.1097,,,[python3-22] [INFO] [1779977647.459860971] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
2,False,local_target_timeout,"[python3-22] [ERROR] [1779977864.073379582] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.027, yaw=+1.71 deg",205.858,9.94,,14.362,126.255,,166.515,,5.2063,0.002,5.2009,0.027,,,[python3-23] [INFO] [1779977864.074758689] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
3,True,,,266.763,9.988,266.761,14.94,126.992,199.121,168.041,265.754,5.2008,-0.0399,-0.0,0.091,,,[python3-22] [INFO] [1779978120.779979013] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
4,True,,,269.494,10.046,269.491,14.576,132.011,202.737,172.763,268.483,5.1867,-0.0353,0.0002,0.0947,,,[python3-22] [INFO] [1779978390.981455446] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
5,True,,,260.939,10.188,260.936,13.107,124.473,193.735,165.221,259.926,5.2084,-0.0352,-0.0001,0.0935,,,[python3-22] [INFO] [1779978652.792085484] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
6,False,local_target_timeout,"[python3-22] [ERROR] [1779978864.570094600] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.030, yaw=+4.17 deg",200.58,10.092,,12.259,121.132,,161.382,,5.1985,0.0051,5.202,0.03,,,[python3-23] [INFO] [1779978864.574679674] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
7,True,,,262.712,10.143,262.709,13.332,124.574,195.713,164.979,261.701,5.1922,-0.0266,-0.0004,0.1043,,,[python3-22] [INFO] [1779979117.701304777] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
8,True,,,263.724,10.142,263.722,12.309,124.362,196.166,164.975,262.716,5.1944,-0.04,0.0005,0.0965,,,[planner_server-16] [INFO] [1779979387.863872888] [global_costmap.global_costmap]: StaticLayer: Resizing costmap to 158 X 118 at 0.050000 m/pix
9,True,,,263.951,10.088,263.949,13.593,124.051,197.913,172.272,262.943,5.1671,-0.1691,0.0,0.0984,,,[python3-22] [INFO] [1779979646.546739372] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
10,True,,,281.451,10.289,281.449,12.456,141.95,214.241,183.214,280.443,5.2028,-0.0317,0.0003,0.1054,,,[python3-22] [INFO] [1779979928.799039488] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
11,False,local_target_timeout,"[python3-22] [ERROR] [1779980145.200219347] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.030, yaw=+3.95 deg",204.972,10.242,,12.411,126.17,,165.567,,5.1941,0.0053,5.202,0.0296,,,[python3-23] [INFO] [1779980145.202896594] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
12,False,local_target_timeout,"[python3-22] [ERROR] [1779980350.109268635] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.030, yaw=+3.83 deg",204.22,10.193,,17.862,125.426,,164.972,,5.2042,0.0047,5.2019,0.0297,,,"[python3-22] [ERROR] [1779980350.109268635] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.030, yaw=+3.83 deg"
13,False,local_target_timeout,"[python3-22] [ERROR] [1779980578.255259394] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.026, yaw=-1.51 deg",227.033,10.289,,12.455,147.64,,187.79,,5.1931,0.0011,5.1994,0.0261,,,[python3-23] [INFO] [1779980578.256659950] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
14,True,,,260.653,10.093,260.651,12.778,122.561,194.617,163.429,259.644,5.1963,-0.0393,0.0002,0.1037,,,[python3-22] [INFO] [1779980829.260018619] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
15,True,,,266.662,10.137,266.659,17.809,132.105,199.606,172.456,265.651,5.2117,-0.0386,0.0003,0.0949,,,[python3-22] [INFO] [1779981096.509255150] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
16,True,,,271.407,10.042,271.402,14.963,132.857,204.452,173.163,270.393,5.2058,-0.0333,-0.0003,0.0993,,,[python3-22] [INFO] [1779981368.763604434] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
17,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.009,10.039,,12.709,125.494,200.96,172.393,267.092,5.0887,-0.5563,-0.0006,0.0245,,,[python3-23] [INFO] [1779981657.189318894] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
18,True,,,255.866,10.135,255.864,15.056,129.921,188.461,168.216,254.856,5.2108,-0.111,-0.0004,0.0932,,,[python3-22] [INFO] [1779982046.007985572] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
19,True,,,261.954,10.143,261.952,12.592,125.143,195.458,165.741,260.946,5.1894,-0.039,0.0002,0.1084,,,[python3-22] [INFO] [1779982315.874418708] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
20,True,,,275.813,10.287,275.811,12.883,138.767,208.585,179.122,274.803,5.1996,-0.1525,0.0003,0.0985,,,[python3-22] [INFO] [1779982592.101530409] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
21,True,,,276.35,10.188,276.347,12.356,140.423,209.596,181.125,275.34,5.19,-0.0385,-0.0001,0.1044,,,[planner_server-16] [INFO] [1779982872.472707938] [global_costmap.global_costmap]: StaticLayer: Resizing costmap to 158 X 118 at 0.050000 m/pix
22,True,,,264.57,10.243,264.567,15.164,127.02,197.669,167.83,263.56,5.1946,-0.0286,0.0001,0.094,,,[python3-22] [INFO] [1779983134.610951137] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
23,True,,,267.517,10.191,267.515,13.622,133.344,200.205,172.804,266.505,5.2062,-0.0388,0.0008,0.0945,,,[python3-22] [INFO] [1779983403.055637456] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
24,True,,,265.324,10.044,265.322,14.968,131.141,199.401,172.14,264.314,5.194,-0.0188,-0.001,0.1097,,,[python3-22] [INFO] [1779983669.939927703] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
